Index,Year,Title,Authors,Abstract,Topics,Predict,Relevant,Objective,Method,Result
20,2017,Advanced Heuristics for Selecting Friends in Social Internet of Things,"Ramasamy, T; Arjunasamy, A","The future of communication involves 'things' in addition to people thus bringing about the term Internet of Things. When social networking concepts are incorporated into Internet of Things, it is called Social Internet of Things. Searching for a desired services may lead to high computational and memory demands as the number of friends of any node starts to grow over time. Hence, it is required to judiciously prune the friends of a node by applying some strategy in order to reduce computational load and at the same time preserving network navigability. In this paper, four new heuristics for efficient selection of friends are proposed. An analysis is performed based on various metrics and the results are presented.",1,1,1,"In this paper, four new heuristics for efficient selection of friends are proposed.",,An analysis is performed based on various metrics and the results are presented.
23,2017,A Performance and Cost Evaluation of Combining OPC-UA and Microsoft Azure IoT Hub into an Industrial Internet-of-Things System,"Forsstrom, S; Jennehag, U","The expected monetary costs and response time performance is important information to know before deploying an industrial Internet-of-Things system. The system investigated in this paper is built up by combining the Open Plant Communication Universal Architecture and the Microsoft Azure Internet-of-Things Hub. We consider a real life industrial scenario that remotely monitors a piece of industrial equipment consisting of 1500 sensors, of which 600 update their values every second. The measured results show that the response times for a fiber based Internet connection was on average 770 ms with a standard deviation of 330 ms and the same measurements on a mobile internet connection was on average 1150 ms with a standard deviation of 340 ms. Cost wise, the investigated scenario fits within the most expensive price plan for the IoT hub and ends in a total of just over $5000 per month for the whole cloud service.",0,1,1,,,"The measured results show that the response times for a fiber based Internet connection was on average 770 ms with a standard deviation of 330 ms and the same measurements on a mobile internet connection was on average 1150 ms with a standard deviation of 340 ms. Cost wise, the investigated scenario fits within the most expensive price plan for the IoT hub and ends in a total of just over $5000 per month for the whole cloud service."
27,2018,On efficient resource allocation in the Internet of Things environment,"Manakkadu, S; Dutta, S","In the Internet of Things environment, it is often the case that a smart device is compatible with a set of gateways. A service composition in such environment may require a set of devices to cooperate to perform a task. These smart devices must be connected with compatible gateways efficiently to maintain the quality of service. In this paper, we consider the problem of allocating devices to compatible gateways while minimizing the maximum traffic at a gateway. We develop a polynomial-time algorithm when all devices required by a service have the same data transmission requirement and establish optimality of the proposed algorithm. We establish that the allocation problem is NP-complete when all participating smart devices have different data transmission requirement. We develop an approximation algorithm to bind smart devices with compatible gateways dynamically when devices have different data transmission requirement. We establish that the maximum traffic assigned to a gateway by the approximation algorithm is at most twice the optimal assignment.",1,1,1,We develop a polynomial-time algorithm when all devices required by a service have the same data transmission requirement and establish optimality of the proposed algorithm.,,
28,2017,Smart Contracts and Internet of Things Future,"Pochyla, M","The aims of this paper is to provide a conceptual context for new technologies around smart contracts and blockchain together with Internet of things. Blockchain, smart contracts and decentralized autonomous organizations have received significant attention recently. In the world of Internet of things, we can build very interesting concepts of use with these new technologies. This paper is focused on related issues for new complex solutions and implementation in enterprise world. In this regard, I first provide a brief overview of the core aspects of these technologies, as well as the smart contracts-based developments for Internet of things. I discuss key issues that must be considered in developing such as blockchain-based technologies in Internet of things context. The result of this effort is to show that future Internet of things application allows the contingency of future events to be more robustly orchestrated through smart contracts.",0,1,1,,"In the world of Internet of things, we can build very interesting concepts of use with these new technologies.",The result of this effort is to show that future Internet of things application allows the contingency of future events to be more robustly orchestrated through smart contracts.
31,2019,Application of Internet of Things Technology in Power System,"Qu, YT; Liu, SW; Xu, JR","At present, with the rapid development of Internet technology, the traditional Internet technology is no longer applicable to the current new Internet technology. At present, Internet technology is gradually found in the direction of Internet of Things technology, and gradually appears in people's production and life. In this paper, the architecture of the current Internet of Things technology is analyzed and discussed, and its key technologies are gradually analyzed. At the same time, this paper also analyses and discusses the problems existing in the current power communication system, and puts forward the application of the current Internet of Things technology in many aspects, such as automation, emergency communication and so on. At the same time, this paper also hopes to promote the vigorous development of smart grid construction in China through the research and discussion of this topic. In addition, this paper mainly from a professional point of view as a starting point, to explore the functional characteristics of the Internet of Things technology, and elaborate on the current application of China's power grid, so as to analyze the current problems. Moreover, this paper also points out the specific causes of these problems, and promotes the application and development of Internet of Things technology in power system.",2,1,1,"In this paper, the architecture of the current Internet of Things technology is analyzed and discussed, and its key technologies are gradually analyzed.In this paper, the architecture of the current Internet of Things technology is analyzed and discussed, and its key technologies are gradually analyzed.In addition, this paper mainly from a professional point of view as a starting point, to explore the functional characteristics of the Internet of Things technology, and elaborate on the current application of China's power grid, so as to analyze the current problems.",,
37,2019,"Sociocast: Design, Implementation and Experimentation of a New Communication Method for the Internet of Things","Atzori, L; Campolo, C; Iera, A; Milotta, GM; Morabito, G; Quattropani, S","Today, Internet can support the following data delivery schemes: unicast, multicast, broadcast, and anycast, according to the way in which the endpoints of the information exchanges are identified. However, several reasons exist discouraging network operators to actually offer all such data delivery schemes to end users. As a result, application developers can rely on unicast communications only and more complex group-based data dissemination policies are implemented as part of specific applications and services and through additional patches to the basic Internet implementation. Group-based communications are crucial in several Internet of Things (IoT) application scenarios. Therefore, in this paper a new data delivery scheme called sociocast is proposed, which can be safely offered to end users. In sociocast communication, endpoints are dynamically determined based on their mutual positions in a social network built by IoT nodes according to the Social Internet of Things paradigm. In this paper, it will be shown how sociocast can be utilized to address several networking needs.",3,1,1,"Therefore, in this paper a new data delivery scheme called sociocast is proposed, which can be safely offered to end users.",,"As a result, application developers can rely on unicast communications only and more complex group-based data dissemination policies are implemented as part of specific applications and services and through additional patches to the basic Internet implementation."
39,2017,The Internet of Things and Big Data: Future Trends,"Carvalho, G; Bernardino, J","The amount of information available is increasing at a faster pace than the number of devices connected, specially since humans have ceased to be the main source of information available on the Internet, and this vast number of information-intensive devices require new ways to save it. This paper aims to provide an overview of the Internet of Things and its evolution, and the reason for the need for Big Data architectures to store data and what are its challenges. The focus is to provide insight into the future of the Internet of Things and Big Data.",0,1,1,,,
41,2018,Application of Internet of Things Technology in Agricultural Production,"Zhang, XM","In recent years, the Internet of Things technology has developed rapidly. The main monitoring method of the Internet of Things is to realize its functions through the nodes of the sensor. The monitoring network of the Internet of Things transmits the monitoring data back to the database for further analysis through the computer and mobile phone platform. More detailed management and arrangement are also important for energy conservation and emission reduction. The continuous development of Internet of Things technology is, to a certain extent, the premise and foundation of agricultural development, and the ultimate goal and the biggest trend of China's agricultural development. This paper outlines the application scope of Internet of Things technology, studies the framework model of agricultural internet of things and its model prediction, and proposes the practical application of Internet of Things technology in agricultural production by studying the impact of Internet of Things technology on modern agriculture.",3,1,1,"This paper outlines the application scope of Internet of Things technology, studies the framework model of agricultural internet of things and its model prediction, and proposes the practical application of Internet of Things technology in agricultural production by studying the impact of Internet of Things technology on modern agriculture.",The main monitoring method of the Internet of Things is to realize its functions through the nodes of the sensor.,
42,2019,Home Automation Using Internet of Things,"Lohan, V; Singh, RP","Internet of Things is the internetworking of devices such as heart monitoring, automobiles with built-in sensors, environmental monitoring, home automation and lightning that enable these devices to gather, communicate, share, receive, and transfer data over a network. The Internet of Things is about making the surrounding environment smart including the buildings used for living beings like homes and hospitals. In this paper, various sensors are deployed in home such as motion sensors, luminance sensors and temperature sensors, is discussed. Algorithm to save the energy of lights and air conditioners of the entire home is also implemented in this paper. Energy consumption before and after implementation of system model has been calculated which showed that a total of 20.78% energy has been saved.",1,1,1,,The Internet of Things is about making the surrounding environment smart including the buildings used for living beings like homes and hospitals.,
48,2017,Internet of Things Online Monitoring System Based on Cloud Computing,"Xian, KH","In order to develop a new convenient online monitoring system for Internet of things, an online monitoring system based on cloud computing is designed. The performance of this new Internet of things technology used in modern agricultural is test by Amazon relational database service (RDS) and ZigBee perception network. By analyzing the Internet of things related technologies and agricultural modernization, the integration framework of the Internet of things, cloud computing and data mining technology in the field of modern agriculture are proposed. Through the modern agricultural Internet of things monitoring system, the Internet of things intelligent gateway, cloud based research and construction of large data analysis and data mining projects are verified. The experimental results show that the relevant parameters of the model are obtained by training about 70% of the original data after adopting the cloud computing. Based on the above finding, it is concluded that the open Internet of things platform needs to be supported by the powerful computing resources. In addition, the cloud computing technology is suitable for the development of the Internet of things service platform.",3,1,1,"By analyzing the Internet of things related technologies and agricultural modernization, the integration framework of the Internet of things, cloud computing and data mining technology in the field of modern agriculture are proposed.By analyzing the Internet of things related technologies and agricultural modernization, the integration framework of the Internet of things, cloud computing and data mining technology in the field of modern agriculture are proposed.",The performance of this new Internet of things technology used in modern agricultural is test by Amazon relational database service (RDS) and ZigBee perception network.,The experimental results show that the relevant parameters of the model are obtained by training about 70% of the original data after adopting the cloud computing.
58,2019,Forecasting and Optimization Internet of Things System,"Lvovich, Y; Lvovich, I; Preobrazhenskiy, A; Choporov, O","Currently many methods and approaches related to the management of Internet of Things systems are associated with the collection of large amounts of information. The results of the rating assessment from the management point of view are limited. In many cases we need to involve modeling and optimization techniques in the management process. This paper shows how an integral assessment of the efficiency of Internet of Things systems is formed. The optimization model of the problem is developed and the procedures of expert evaluation of management decisions are formed. On the basis of the methods used, the results demonstrating their efficiency are obtained.",1,1,1,,"Currently many methods and approaches related to the management of Internet of Things systems are associated with the collection of large amounts of information.Currently many methods and approaches related to the management of Internet of Things systems are associated with the collection of large amounts of information.On the basis of the methods used, the results demonstrating their efficiency are obtained.On the basis of the methods used, the results demonstrating their efficiency are obtained.","The results of the rating assessment from the management point of view are limited.On the basis of the methods used, the results demonstrating their efficiency are obtained."
64,2019,Internet of Things in the Philippines: A Review,"Illahi, AAC; Culaba, A; Dadios, EP","The country is adopting Fourth Industrial Revolution (4IR). Internet of Things is one of the disruptive technologies and part of 4IR. Data coming from the sensor, actuators are automatically collected, stored, analyzed, and used. This new emerging technology offers extraordinary opportunities to develop a new business model and can provide automation and monitoring in everything we do. IoT provides automation to our home, healthcare, transportation, manufacturing industry, and agriculture. IoT implementation serves to be beneficial to society. The economy will be progressive because all business operation can be automated. It will increase the production time resulting in a higher profit that will add to the national Growth Domestic Product (GDP). But the issue of data and privacy is the concern by using Internet of Things (IoT). Policymakers should come up with a concrete law that will protect the user of the technology.",3,1,1,"Data coming from the sensor, actuators are automatically collected, stored, analyzed, and used.","Data coming from the sensor, actuators are automatically collected, stored, analyzed, and used.But the issue of data and privacy is the concern by using Internet of Things (IoT).",It will increase the production time resulting in a higher profit that will add to the national Growth Domestic Product (GDP).
70,2021,Internet of Flying Things (IoFT): A Survey,"Zaidi, S; Atiquzzaman, M; Calafate, CT","Unmanned Aerial Vehicles (UAVs) have recently received significant attention by the civilian and military community, mostly due to the fast growth of UAV technologies supported by wireless communications and networking. UAVs can be used to improve the efficiency and performance of the Internet of Things (IoT) in terms of connectivity, coverage, reliability, stability, etc. In particular, to support IoT applications in an efficient manner, UAVs should be organized as a Flying Ad-hoc NETwork (FANET). FANET is a subclass of Mobile Ad-hoc Network (MANET) where nodes are Unmanned Artifact Systems (UAS). However, the deployment of UAVs in IoT is limited by several constraints, such as limited resource capacity of UAVs and ground devices, signal collision and interference, intermittent availability of the IoT infrastructure, etc. In the Internet of Flying Things (IoFT) literature, there are no survey or study that exhaustively covers and discusses all key concepts and recent works on IoFT. In this paper a comprehensive survey on the IoFT is presented, covering the state of the art in flying things with a focus on IoFT. A taxonomy of related literature on IoFT is proposed, including a classification, description and comparative study of different work on IoFT. Furthermore, the paper presents IoFT applications, IoFT challenges and future perspectives. This survey aims to provide the basic concepts and a complete overview of the recent studies on IoFT for the scientific researchers.",0,1,1,"A taxonomy of related literature on IoFT is proposed, including a classification, description and comparative study of different work on IoFT.","UAVs can be used to improve the efficiency and performance of the Internet of Things (IoT) in terms of connectivity, coverage, reliability, stability, etc.",
71,2016,An Overview to Internet of Things (IOT),"Kaur, S; Hans, A; Singh, N","Web and its applications have turned into an essential piece of today's human way of life. Because of the colossal interest and need, analysts went past associating only PCs into the web. These inquires about prompted the introduction of an astounding thingamabob, Internet of Things (IoT). Correspondence over the web has developed from client - client cooperation to gadget - gadget collaborations nowadays. The fundamental target of this paper is to give a review of Internet of Things, structures, key innovations and their utilizations in our day by day life. In any case, this composition will give great appreciation for the new scientists, who need to do look into in this field of Internet of Things and encourage learning collection in effectively.",1,1,1,,,
72,2016,THE INTERNET OF THINGS (IOT) BUSINESS POTENTIAL IN LATVIA,"Binde, J; Zvirbule, V; Demjanova, Z; Saulite, I","Over the recent years, there is a growing topicality in the business segment, as well as among individuals, of technologies that allow connecting a wide range of devices in a unified information environment, thereby providing automation and online monitoring of operations. Application of solutions ranges from transportation and logistics to health care, environment and rescue and safety. Including the devices in a single network allows achieving increased operational optimization, improved accuracy and efficiency; therefore, ensuring a business potential in virtually any market or industry. Although the topicality and prevalence of internet of things (IoT) are increasingly growing, as smart devices are seamlessly included in the day-to-day operations of the business environment, the benefits arising from the new digital technologies and online connectivity still remain largely underexplored in Latvia. Hence, the aim of the paper is to identify the main development drivers and the business potential of internet of things in Latvia by exploring the current experience and future readiness to optimize the cost base, develop new technologies and business models, enter new markets or industries, as well as to strengthen cooperation with the current and potential business partners by capitalizing on 24/7 connectivity of a range of devices. To achieve the above-stated aim, in January 2016 a web-based questionnaire is sent out to business organizations' representatives in Latvia asking respondents to evaluate their current experience and future potential of application of internet of things solutions in their organization to achieve an increased efficiency or develop new technologies or business models. Research results indicate that even though the general awareness of the benefits that internet of things has to offer can be considered as relatively high, the practical application of the respective solutions show that the technology adoption in this field is still fairly low; therefore, indicating unrealized potential of internet of things usage in day-to-day operations. Practical implications of research results are mainly based on the opportunity to identify gaps that prevent business customers from wider application of internet of things solutions and, consequently, benefiting from opportunities in technological and efficiency advancement.",3,1,1,,,"Research results indicate that even though the general awareness of the benefits that internet of things has to offer can be considered as relatively high, the practical application of the respective solutions show that the technology adoption in this field is still fairly low; therefore, indicating unrealized potential of internet of things usage in day-to-day operations.Practical implications of research results are mainly based on the opportunity to identify gaps that prevent business customers from wider application of internet of things solutions and, consequently, benefiting from opportunities in technological and efficiency advancement."
74,2016,Negotiation in Internet of Things,"Misura, K; Zagar, M","Internet of things as a market, and the number of connected devices in particular is growing very rapidly. Currently, application owners deploy new devices for each application that needs the data. As the number of sensors increases, it will become much more practical to reuse existing sensors for new applications than to deploy new ones. But the problem is that the application owner needs to agree with device owners on conditions under which will the data be made available to applications. Doing this manually is very expensive both in terms of money and time. We implemented a system that does this automatically using negotiating agents. The system was tested on simulated environments and showed that it can mediate between devices and applications with reasonable performance.",3,1,1,,We implemented a system that does this automatically using negotiating agents.,
79,2020,Internet of Things Research and Application of Information Technology,"Xia, XY","With the continuous development of information technology, artificial intelligence, big data and other technologies are gradually integrated into daily production and life. The Internet of Things technology based on information technology has also received many new development opportunities, innovating people's production methods. This article summarizes the technical content of the Internet of Things based on previous work experience. The author discusses the application form of the Internet of Things based on information technology from six aspects: smart home and smart transportation, smart city, Internet of Things industry, Internet of Things security, communication transmission mode, and smart warehouse management system.",2,1,1,,"The Internet of Things technology based on information technology has also received many new development opportunities, innovating people's production methods.",
80,2017,PROBLEMS OF INFORMATION SECURITY: INTERNET OF THINGS,"Shikov, SA","Introduction. The article deals with the threats to information security in the internet-working of physical devices, also known as Internet of Things (IoT), and the security challenge in terms of home automation systems, ZigBee protocol, Tesla electric cars and Apple Pay mobile payment. Section provides the term definition and history of the Internet of Things. The IEEE 1888 IoT-related standard developed in 2011 as integrated solution based on energy-saving technologies for the Internet of Things. The author considers security challenges for the smart home system. Next section reviews the experiments of the author involved in testing of the Internet of Things devices. Materials and Methods. The subjects of study are the Apple Pay, the ZigBee wireless standard, Tesla Model S electric cars. The main methods for identification of security threats are analysis and comparison. Results. The companies of electronic devices simplify and reduce the price of manufacturing process. The customers and users are rarely interested in levels of electronic devices security policies. This is the weakest link of electronic products in terms of security and safety. The tests demonstrated that modern electronic-based technologies do not reach the 100-percentage security level. Apple Pay mobile payment system demonstrated the highest security rating. Discussion and Conclusions. Modern electronic devices for Internet of Things does not meet all safety requirements, from the point of view of the author. The article recommends analyzing the potential threats and developing new security standards. In addition, the logistics of electronic devices for Internet of Things need to be under control from the manufacturer to equipment installation time.",0,1,1,The article recommends analyzing the potential threats and developing new security standards.,The main methods for identification of security threats are analysis and comparison.,Results.
82,2016,Service-Oriented Network Virtualization Architecture for Internet of Things,"Guo, YG; Zhu, HB; Yang, LX","As a key technology to realize smart services of Internet of Things(IoT), network virtualization technology can support the network diversification and ubiquity, and improve the utilization rate of network resources. This paper studies the service-oriented network virtualization architecture for IoT services. Firstly the semantic description method for IoT services is proposed, then the resource representation model and resource management model in the environment of network virtualization are presented. Based on the above models, the service-oriented virtual network architecture for IoT is established. Finally, a smart campus system is designed and deployed based on the service-oriented virtual network architecture. Moreover, the proposed architecture and models are verified in experiments.",3,1,1,"Firstly the semantic description method for IoT services is proposed, then the resource representation model and resource management model in the environment of network virtualization are presented.Moreover, the proposed architecture and models are verified in experiments.","Firstly the semantic description method for IoT services is proposed, then the resource representation model and resource management model in the environment of network virtualization are presented.",
84,2018,Securing the Internet of Things (IoT),"El bekkali, A; Boulmalf, M; Essaaidi, M; Mezzour, G","Internet of Things is a large network of interconnected things. IoT refers to the exchange of data and information from real world devices to the Internet. IoT technology will enable breakthrough applications in several areas such as e-Health, smart cities, transportation and industry, and includes multiple technologies, cloud computing, communication, etc. IoT reveals not only the possibilities of high efficiency and low cost, but also scalability. On the other hand, security issues exist and are a major concern for researchers. This article is a systematic literature review (SLR) where show the most basic and common architecture proposed for IoT with a security analysis of each layer. This SLR is also made to present IoT security solutions, as well as a comparison of these solutions. Finally we will present future research directions.",0,1,1,This article is a systematic literature review (SLR) where show the most basic and common architecture proposed for IoT with a security analysis of each layer.,,
85,2022,"Internet of Things: Aspiration, implementation and contribution","Cranmer, EE; Papalexi, M; Dieck, MCT; Bamford, D","The Internet of Things (IoT) technologies offer unique opportunities for organisations to improve their performance, innovativeness and as a result pursue competitive advantages. However, organisations are uncertain how to adopt IoT to exploit its potential. This study explores emerging issues and future horizons in the IoT business model context, identifying factors that influence and hinder organisation's ability to implement IoT. A survey revealed a number of drivers and barriers to IoT implementation. These findings informed the development of the Aspiration, Implementation and Contribution (AIC) business model framework that offers guidance to organisations about how to adopt IoT in order to create value. Findings provide novel theoretical insight into the barriers and drivers influencing the implementation of IoT technologies. The development of the AIC business model will help standardise the realisation of value and implementation of IoT.",0,1,1,,,"The Internet of Things (IoT) technologies offer unique opportunities for organisations to improve their performance, innovativeness and as a result pursue competitive advantages."
