Index,Index,Year,Title,Authors,Abstract,Topics,Predict
13,13,2011.0,A tag indexing method in the Internet of Things,"Ying, G; Huang, JC; Liu, GY","The Internet of Things is a new technology providing a feedback loop for objects to be connected to the Internet. There are numbers of problems arising when making this concept a reality. This article discusses a tag indexing method as a solution to the indexing problem in the Internet of Things. This indexing method is set up for building a visual indexing interface, which consists of many 3D diagrams of the user's objects, speeding up keyword indexing process in the Internet of Things, and getting some features of object-oriented model involved.",3,1
14,14,2016.0,Searching the Social Internet of Things by Exploiting Object Similarity,"Nitti, M; Pilloni, V; Giusto, DD","One of the major issues of Internet of Things (IoT) is discovering which objects are able to execute specific services and provide the required data for applications to be correctly accomplished. In recent years, the Social IoT (SIoT) paradigm, where objects establish social-like relationships, has become popular as it presents several interesting features to improve network navigability and implement efficient discovery methods. This is due to the intrinsic capability of a SIoT network to come to a solution for a query and quickly reach the required object with a small number of hops, using object friendships. In this paper, a SIoT-based object discovery mechanism is proposed. The novelty of this algorithm is that the next hop to query is chosen based on two properties: one that is intrinsic to the network and is based on object friendships, and an external one that takes into account the similarity between the object and the query. Simulation results prove that a correct balance between the two introduced properties is needed and that the proposed algorithm is able to efficiently solve queries, independently of their popularity and complexity.",1,1
15,15,2016.0,Smart World of Internet of Things (IoT) and It's Security Concerns,"Talwana, JC; Hua, HJ","Due to increasing number of internet users, popularity of Broadband Internet also increasing. Hence the connection cost should be decrease due to Wi Fi connectivity and built-in sensors in devices as well the maximum number of devices should be connected through a common medium. To meet all these requirements, the technology so called Internet of Things is evolved. Internet of Things (IoT) can be considered as a connection of computing devices like smart phones, coffee maker, washing machines, wearable device with an internet. IoT create network and connect things and people together by creating relationship between either people-people, people-things or things-things. As the number of device connection is increased, it increases the Security risk. Security is the biggest issue for IoT at any companies across the globe. Furthermore, privacy and data sharing can again be considered as a security concern for IoT. Companies, those who use IoT technique, need to find a way to store, track, analyze and make sense of the large amounts of data that will be generated. Few security techniques of IoT are necessary to implement to protect your confidential and important data as well for device protection through some internet security threats.",0,1
16,16,2018.0,Challenges of Internet of Things and Big Data Integration,"Alansari, Z; Anuar, NB; Kamsin, A; Soomro, S; Belgaum, MR; Miraz, MH; Alshaer, J","The Internet of Things anticipates the conjunction of physical gadgets to the Internet and their access to wireless sensor data which makes it expedient to restrain the physical world. Big Data convergence has put multifarious new opportunities ahead of business ventures to get into a new market or enhance their operations in the current market. considering the existing techniques and technologies, it is probably safe to say that the best solution is to use big data tools to provide an analytical solution to the Internet of Things. Based on the current technology deployment and adoption trends, it is envisioned that the Internet of Things is the technology of the future; while to-day's real-world devices can provide real and valuable analytics, and people in the real world use many IoT devices. Despite all the advertisements that companies offer in connection with the Internet of Things, you as a liable consumer, have the right to be suspicious about IoT advertisements. The primary question is: What is the promise of the Internet of things concerning reality and what are the prospects for the future.",3,1
17,17,2018.0,Authentication Protocol for Securing Internet of Things,"Maarof, A; Senhadji, M; Labbi, Z; Belkasmi, M","The Internet of things (IoT) is become an important research topic because it integrates various sensors and objects to communicate directly with one another object without human intervention. Today, Internet of Things has so many applications in our daily life like home automation, healthcare, smart grid, smart car etc.. The requirements for the large-scale deployment of the IoT, it leads to many security concerns like how to secure these devices, data and communication from unauthorized access. As IoT uses minimal capacity things and wireless technology for communication which makes it more vulnerable. In this paper we discuss a mutual authentication scheme proposed by Kalra and Sood in 2015, and then we show their weaknesses and propose an improved scheme",0,1
18,18,2015.0,Internet of Things Context-Aware Privacy Architecture,"Rachid, S; Challal, Y; Nadjia, B","The Internet of Things (IoT) is a rapidly growing technology in recent years. It represents an extension of the Internet into the physical world embracing everyday objects. In consequence, users' privacy and security are becoming a great challenge. To cope with this issue, sophisticated approaches are needed to guarantee these services and hence ensure a large-scale adoption of IoT. In our work we present an approach to model and describe the architecture of internet of things, in which user privacy and security are ensured while taking into consideration the dynamic context in which evolve users, their experience and preferences with respect to security and privacy.",0,1
20,20,2017.0,Advanced Heuristics for Selecting Friends in Social Internet of Things,"Ramasamy, T; Arjunasamy, A","The future of communication involves 'things' in addition to people thus bringing about the term Internet of Things. When social networking concepts are incorporated into Internet of Things, it is called Social Internet of Things. Searching for a desired services may lead to high computational and memory demands as the number of friends of any node starts to grow over time. Hence, it is required to judiciously prune the friends of a node by applying some strategy in order to reduce computational load and at the same time preserving network navigability. In this paper, four new heuristics for efficient selection of friends are proposed. An analysis is performed based on various metrics and the results are presented.",1,1
21,21,2011.0,Composition Principle of Internet of Things Architecture,"Liu, P; Li, C","As an emerging technology, Internet of Things has been caused attention by domestic academia and industry. This paper introduces the basic concepts and development process of Internet of Things; then introduces its architecture, focuses on the features dissertation of each network layer; in this paper, the key technologies of Internet of Things are studied and discussed; finally, the development of its future prospects.",2,1
22,22,2015.0,Business models for the Internet of Things,"Dijkman, RM; Sprenkels, B; Peeters, T; Janssen, A","The Internet of Things is the connection - via the Internet - of objects from the physical world that are equipped with sensors, actuators and communication technology. This technology is looked at by a large variety of domains, such as manufacturing, healthcare and energy, to facilitate the development of new applications and the improvement of existing applications. To also enable the commercial exploitation of these applications, new types of business models must be developed. Frameworks exist to facilitate the development of business models. These frameworks define the building blocks that a business model address. This paper presents a business model framework specifically for Internet of Things applications. Through a literature survey, interviews and a survey among practitioners, it identifies the building blocks that are relevant in an Internet of Things business model, types of options that can be focused on within these building blocks and the relative importance of these building blocks and types. The framework can be used by developers as a starting point for creating business models for Internet of Things applications. (C) 2015 Elsevier Ltd. All rights reserved.",0,1
23,23,2017.0,A Performance and Cost Evaluation of Combining OPC-UA and Microsoft Azure IoT Hub into an Industrial Internet-of-Things System,"Forsstrom, S; Jennehag, U","The expected monetary costs and response time performance is important information to know before deploying an industrial Internet-of-Things system. The system investigated in this paper is built up by combining the Open Plant Communication Universal Architecture and the Microsoft Azure Internet-of-Things Hub. We consider a real life industrial scenario that remotely monitors a piece of industrial equipment consisting of 1500 sensors, of which 600 update their values every second. The measured results show that the response times for a fiber based Internet connection was on average 770 ms with a standard deviation of 330 ms and the same measurements on a mobile internet connection was on average 1150 ms with a standard deviation of 340 ms. Cost wise, the investigated scenario fits within the most expensive price plan for the IoT hub and ends in a total of just over $5000 per month for the whole cloud service.",0,1
24,24,2021.0,A Brief Review on Internet of Things (IoT),"Gannavaram, VTK; Kandhikonda, UM; Bejgam, R; Keshipeddi, SB; Sunkari, S","Internet of Things (IoT) is the most familiar technology to the modern society that has actually transformed the physical objects into smart things that are enhanced with capabilities like sensing, decision making and computing. The physical world is assisted by the digital world entirely connected to the global network infrastructure, starting the day with smart alarms and ending the day with smart beds. In today's world the modern humans are now more connected to the non-living objects, because Internet has been a common platform for human beings to interact and now, Internet is being a common thing for the physical objects also. With IoT, the tasks to be performed by humans are being made simpler, made humans go at an ease, navigation and assistance is now at the finger tips. Things in the human world are getting automated in a vast manner, extending from industries to homes, workplaces, classrooms, transport systems, medical fields and many. In this paper, a thorough study is presented on the emerging technology i.e. IoT, addressing how the devices are being the tiny building blocks of large applications, scope of IoT enabled applications, advantages, disadvantages, automation process, then and now era of IoT.",3,1
26,26,2016.0,Internet of Things For Monitoring The Environmental Parameters,"Agrawal, P; Chitranshi, G","Rapid growth in the infrastructure and industrial automation is creating environmental problems. In controlling the environment with pollutants researchers have develop strategies for monitoring the parameters and issues related to environment. This paper introduces the design of web server using internet of things based on ATmega328 and Ethernet Shield W5100 Ethernet controller chip with some I/O devices. To create an HTML webpage for that it need an IP address of Server side and enter into the browser like Internet Browser, Firefox and Google Chrome at client side. Input/output devices are LM35 temperature sensor, Rain sensor, BMP180 pressure. Temperature, Pressure, Altitude and Rain conditions are monitored and a system is developed and tested wherein in emergency situation various devices are controlled in real time.",1,1
27,27,2018.0,On efficient resource allocation in the Internet of Things environment,"Manakkadu, S; Dutta, S","In the Internet of Things environment, it is often the case that a smart device is compatible with a set of gateways. A service composition in such environment may require a set of devices to cooperate to perform a task. These smart devices must be connected with compatible gateways efficiently to maintain the quality of service. In this paper, we consider the problem of allocating devices to compatible gateways while minimizing the maximum traffic at a gateway. We develop a polynomial-time algorithm when all devices required by a service have the same data transmission requirement and establish optimality of the proposed algorithm. We establish that the allocation problem is NP-complete when all participating smart devices have different data transmission requirement. We develop an approximation algorithm to bind smart devices with compatible gateways dynamically when devices have different data transmission requirement. We establish that the maximum traffic assigned to a gateway by the approximation algorithm is at most twice the optimal assignment.",1,1
28,28,2017.0,Smart Contracts and Internet of Things Future,"Pochyla, M","The aims of this paper is to provide a conceptual context for new technologies around smart contracts and blockchain together with Internet of things. Blockchain, smart contracts and decentralized autonomous organizations have received significant attention recently. In the world of Internet of things, we can build very interesting concepts of use with these new technologies. This paper is focused on related issues for new complex solutions and implementation in enterprise world. In this regard, I first provide a brief overview of the core aspects of these technologies, as well as the smart contracts-based developments for Internet of things. I discuss key issues that must be considered in developing such as blockchain-based technologies in Internet of things context. The result of this effort is to show that future Internet of things application allows the contingency of future events to be more robustly orchestrated through smart contracts.",0,1
29,29,2016.0,Security in the Industrial Internet of Things The C-SEC Approach,"Romero-Mariona, J; Hallman, R; Kline, M; Miguel, JS; Major, M; Kerr, L","A revolutionary development in machine-to-machine communications, the Internet of Things (IoT) is often characterized as an evolution of Supervisory Control and Data Acquisition (SCADA) networks. SCADA networks have been used for machine-to-machine communication and controlling automated processes since before the widespread use of the Internet. The adoption of open internet protocols within these systems has created unforeseen security vulnerabilities. In this paper we detail the Cyber-SCADA Evaluation Capability (C-SEC), a US Department of Defense research effort aimed at securing SCADA networks. We also demonstrate how the C-SEC framework could enhance the security posture of the emerging IoT paradigm.",0,1
30,30,2017.0,Internet of Things: Solar Array Tracker,"Williams, K; Qouneh, A","Due to economies of scale and advancement in silicon technologies, powerful computing platforms are ushering a new era in computing and connectivity. These platforms are sometimes categorized under the umbrella of Internet of Things (IoT). In this paper, one such platform is used to design and build an Internet of Things solar tracker. The solar tracker predicts the sun position for maximum power output, controls servos that move the cell, monitors the output of the solar cell, collects and processes raw data to infer information that can be sent to a remote station for further analysis. Similar solar trackers can be installed at solar farms to help in energy harvesting and management over a large geographical area. Solar trackers send processed information to a centralized location where further analysis provides energy utility companies with fine-grained energy harvesting and management capabilities; thus improving overall efficiency of energy generation and consumption.",1,1
31,31,2019.0,Application of Internet of Things Technology in Power System,"Qu, YT; Liu, SW; Xu, JR","At present, with the rapid development of Internet technology, the traditional Internet technology is no longer applicable to the current new Internet technology. At present, Internet technology is gradually found in the direction of Internet of Things technology, and gradually appears in people's production and life. In this paper, the architecture of the current Internet of Things technology is analyzed and discussed, and its key technologies are gradually analyzed. At the same time, this paper also analyses and discusses the problems existing in the current power communication system, and puts forward the application of the current Internet of Things technology in many aspects, such as automation, emergency communication and so on. At the same time, this paper also hopes to promote the vigorous development of smart grid construction in China through the research and discussion of this topic. In addition, this paper mainly from a professional point of view as a starting point, to explore the functional characteristics of the Internet of Things technology, and elaborate on the current application of China's power grid, so as to analyze the current problems. Moreover, this paper also points out the specific causes of these problems, and promotes the application and development of Internet of Things technology in power system.",2,1
32,32,2019.0,Survey of Security Mechanisms in Internet of Things,"Vidyashree, L; Alworafi, MA; El-Booz, SA; Suresha","Internet of Things (IoT) has made considerable changes in the real world and penetrates all aspects of human life, controls on many things such as car, mobile, etc., it would be treated as future of the Internet. It affects a new world acquired by small, smart objects interacting with the environment and controlled over the Internet. Securing an IoT is a major thing. At the security system, there are two major mechanisms in IoT, i.e., Authentication and Authorization. Authentication is an important issue in IoT, where identifying who can access the system is the most effective issue. This paper aims to compare various existing authentication mechanisms for securing IoT. We deduced form this study that IoT accomplished an efficient communication overhead security rate.",0,1
33,33,2017.0,Securing the Internet of Things: A Proposed Framework,"Jaswal, K; Choudhury, T; Chhokar, RL; Singh, SR","These days Internet of Things (Internet of things) has transformed into a serious ponder that has made progress in the practically every field we can imagine. The following research paper gives a review of Internet of things, its empowering innovations, developing applications and security issues in the remote advancements. There are colossal number of uses of Internet of things in practically every part of life i.e. medicinal services, coordinations and production network administration, shrewd environment and social application and so forth along these lines security is an essential worry of remote systems thus it is one of the principle issues in Internet of things. The following paper gives an outline of the many security worries in an Internet of things framework, dangers related to it, difficulties and techniques to avoid such security issues.",3,1
35,35,2021.0,Cryptographic technologies and protocol standards for Internet of Things,"Sherali, Z; Ashok, KD; Sklavos, N","The Internet of Things (IoT) comprises physical/virtual networked objects that collect and exchange data with each other via the public Internet. As this exchange often takes place over public networks, many security attacks in an IoT environment are possible. First, we briefly review the security issues in the IoT environment. Next, we focus on recent cryptographic protocol standards that are in use or have been recommended for IoT devices to ensure secure communications. We also highlight the advantages and weaknesses of the several protocol standards for various IoT application scenarios including connected vehicles, health, smart home, and consumer appliances and devices. Finally, we discuss some challenges in the area of cryptographic protocol standards that still require to be addressed for IoT applications in the future. (C) 2019 Elsevier B.V. All rights reserved.",0,1
36,36,2019.0,Applying Runtime Monitoring to the Industrial Internet of Things,"Grochowski, M; Kowalewski, S; Buchsbaum, M; Brecher, C","In the context of the Industrial Internet of Things safety and robustness play a crucial role as autonomous and emergent behavior increase the complexity of Cyber-Physical Production Systems. Given the intractability of exhaustively verifying distributed production systems, testing and runtime monitoring seem to be two promising methods used to verify correctness in the digitally networked factory. External runtime monitoring is an efficient and lightweight technique that bridges the gap between testing and verification. This paper describes a framework for on-the-fly monitor generation using a state-of-the-art monitoring algorithm for proving properties of a distributed production system relying on the AmazonWeb Services Internet of Things architecture and the use of the digital shadow. The feasibility of the proposed architecture is evaluated using an industrial case study.",1,1
37,37,2019.0,"Sociocast: Design, Implementation and Experimentation of a New Communication Method for the Internet of Things","Atzori, L; Campolo, C; Iera, A; Milotta, GM; Morabito, G; Quattropani, S","Today, Internet can support the following data delivery schemes: unicast, multicast, broadcast, and anycast, according to the way in which the endpoints of the information exchanges are identified. However, several reasons exist discouraging network operators to actually offer all such data delivery schemes to end users. As a result, application developers can rely on unicast communications only and more complex group-based data dissemination policies are implemented as part of specific applications and services and through additional patches to the basic Internet implementation. Group-based communications are crucial in several Internet of Things (IoT) application scenarios. Therefore, in this paper a new data delivery scheme called sociocast is proposed, which can be safely offered to end users. In sociocast communication, endpoints are dynamically determined based on their mutual positions in a social network built by IoT nodes according to the Social Internet of Things paradigm. In this paper, it will be shown how sociocast can be utilized to address several networking needs.",3,1
38,38,2018.0,"Internet of Things: Infrastructure, Architecture, Security and Privacy","Alansari, Z; Anuar, NB; Kamsin, A; Belgaum, MR; Alshaer, J; Soomro, S; Miraz, MH","Internet of Things (IoT) is one of the emerging technologies of this century and its various aspects, such as the Infrastructure, Security, Architecture and Privacy, play an important role in shaping the future of the digitalised world. Internet of Things devices are connected through sensors which have significant impacts on the data and its security. In this research, we used IoT five layered architecture of the Internet of Things to address the security and private issues of IoT enabled services and applications. Furthermore, a detailed survey on Internet of Things infrastructure, architecture, security, and privacy of the heterogeneous objects were presented. The paper identifies the major challenge in the field of IoT; one of them is to secure the data while accessing the objects through sensing machines. This research advocates the importance of securing the IoT ecosystem at each layer resulting in an enhanced overall security of the connected devices as well as the data generated. Thus, this paper put forwards a security model to be utilised by the researchers, manufacturers and developers of IoT devices, applications and services.",0,1
39,39,2017.0,The Internet of Things and Big Data: Future Trends,"Carvalho, G; Bernardino, J","The amount of information available is increasing at a faster pace than the number of devices connected, specially since humans have ceased to be the main source of information available on the Internet, and this vast number of information-intensive devices require new ways to save it. This paper aims to provide an overview of the Internet of Things and its evolution, and the reason for the need for Big Data architectures to store data and what are its challenges. The focus is to provide insight into the future of the Internet of Things and Big Data.",0,1
40,40,2018.0,IPv6-Based Architecture of Community Medical Internet of Things,"Liu, C; Chen, FL; Zhao, CX; Wang, TC; Zhang, C; Zhang, ZY","The effective integration of Community Medical Internet of Things (CMIoT) and the core technology IPv6 about the next generation of Internet will create a new pattern for the medical field. However, as a heterogeneous network system, the interconnection of different CMIoT components is the primary problem, which needs to be solved. Traditional protocol conversion gateway in the Internet of Things only implements the packet format conversion. When the network environment changes, it is difficult to effectively implement the data path. We propose a CMIoT architecture with the assist of the communication auxiliary gateway, and design the simplified protocol message format under the premise of satisfying the functional requirements. At the same time, the CMIoT architecture model is built based on the Ptolemy II modeling environment and implemented in a community, and it is proved that the interconnection between the IPv6 network and the physical network can be realized more effectively.",3,1
41,41,2018.0,Application of Internet of Things Technology in Agricultural Production,"Zhang, XM","In recent years, the Internet of Things technology has developed rapidly. The main monitoring method of the Internet of Things is to realize its functions through the nodes of the sensor. The monitoring network of the Internet of Things transmits the monitoring data back to the database for further analysis through the computer and mobile phone platform. More detailed management and arrangement are also important for energy conservation and emission reduction. The continuous development of Internet of Things technology is, to a certain extent, the premise and foundation of agricultural development, and the ultimate goal and the biggest trend of China's agricultural development. This paper outlines the application scope of Internet of Things technology, studies the framework model of agricultural internet of things and its model prediction, and proposes the practical application of Internet of Things technology in agricultural production by studying the impact of Internet of Things technology on modern agriculture.",3,1
42,42,2019.0,Home Automation Using Internet of Things,"Lohan, V; Singh, RP","Internet of Things is the internetworking of devices such as heart monitoring, automobiles with built-in sensors, environmental monitoring, home automation and lightning that enable these devices to gather, communicate, share, receive, and transfer data over a network. The Internet of Things is about making the surrounding environment smart including the buildings used for living beings like homes and hospitals. In this paper, various sensors are deployed in home such as motion sensors, luminance sensors and temperature sensors, is discussed. Algorithm to save the energy of lights and air conditioners of the entire home is also implemented in this paper. Energy consumption before and after implementation of system model has been calculated which showed that a total of 20.78% energy has been saved.",1,1
43,43,2016.0,Low Power Internet of Things Gateway,"Kadioglu, T; Yildiz, N; Cesur, E","In this paper, the hardware and software development of a gateway targeting Internet of Things applications is disclosed and a new UDP based sensor network communication model for the reduction of network traffic and power consumption is proposed. On the other hand, various information about Internet of Things, wireless sensor networks and Contiki operating system are also given throughout the paper.",3,1
44,44,2013.0,Secure and scalable mobility management scheme for the Internet of Things integration in the future internet architecture,"Jara, AJ; Kafle, VP; Skarmeta, AF","Internet of Things is becoming a reality with the rapid development of communication technologies. This evolution presents an enrichment of the users' experiences, but also challenges regarding network scalability, security, privacy vulnerabilities, and mobility support. Mobility support for the Future Internet is focused on ID/Locator split architectures since the limitations of the current internet. This work analyses the security challenges for the HIMALIS (Heterogeneity Inclusion and Mobility Adaptation through Locator ID Separation) architecture for the particularities from the Internet of Things and the ID/Locator management messages vulnerable to attacks. This work proposes a secure and scalable mobility management scheme that considers the constraints from the Internet of Things, solving the possible security and privacy vulnerabilities of the HIMALIS architecture. The proposed scheme supports scalable inter-domain authentication and secure location update and binding transfer for the mobility process. The proposed scheme has been verified and evaluated successfully with the AVISPA framework.",0,1
45,45,2016.0,HBase based storage system for the Internet of things,"Zheng, Y; Liu, CC","Internet of things(Iot) continually produce a large amount of data, need to collect, process, storage, analysis and make use of these data. There are too many nodes in the Internet of things, the data is huge, and it needs a distributed data management system to manage and integrate. For the traditional distributed database system, the local fault and the data synchronization update brings the cost of the system performance, which makes the data quantity and the number of nodes are limited, and cannot meet the requirements of data management in the Internet of things. In view of the problem of the storage for the Internet of things, a two layer distributed storage structure is proposed, which uses the distributed database(HBase) to store the metadata of sensor data and Mysql to store the sensor data respectively. The experimental results show that the system has good scalability and query efficiency.",1,1
46,46,2017.0,High Speed Wireless USB for Internet of Things,"Yang, RF; Luo, CB",Internet of Things is wide focused on academia and industrial applications. Wireless Universal Serial Bus (USB) based on Ultra Wideband (UWB) and Multiple-Input Multiple-Output (MIMO) technology is a major research filed of the Internet of Things for extending the wireless link coverage. This paper presents a study of propagation channel and system implementation with low power and cost requirements. The receiver fixed point performance is measured and the results are compared with different system performance in different channel modeling.,3,1
