Title,Abstract,Year,PDF Link,Authors,Source,Relevant
Experimental context classification: incentives and experience of subjects,"There is a need to identify factors that affect the result of empirical studies in software engineering research. It is still the case that seemingly identical replications of controlled experiments result in different conclusions due to the fact that all factors describing the experiment context are not clearly defined and hence controlled. In this article, a scheme for describing the participants of controlled experiments is proposed and evaluated. It consists of two main factors, the incentives for participants in the experiment and the experience of the participants. The scheme has been evaluated by classifying a set of previously conducted experiments from literature. It can be concluded that the scheme was easy to use and understand. It is also found that experiments that are classified in the same way to a large extent point at the same results, which indicates that the scheme addresses relevant factors.",2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1553590,"Martin H?st, Claes Wohlin, Thomas Thelin","ICSE '05: Proceedings of the 27th international conference on Software engineering, May 2005, Publisher: ACM",1
How Does a Measurement Programme Evolve in Software Organizations?,"<p><p>Establishing a software measurement programme within an organization is not a straightforward task. Previous literature surveys have focused on software process improvement in general and software measurement has been analysed in case studies. This literature survey collects the data from separate cases and presents the critical success factors that are specific to software measurement programmes. We present a categorization of the success factors based on organizational roles that are involved in measurement. Furthermore, the most essential elements of success in different phases of the life cycle of the measurement programme are analysed. It seems that the role of upper management is crucial when starting measurement and the individual developers' impact increases in the later phases. Utilization of the measurement data and improvement of the measurement and development processes requires active management support again.</p></p>",2008,http://dl.acm.org/citation.cfm?id=1425920&CFID=932207713&CFTOKEN=72281918,"Lasse Harjumaa, Jouni Markkula and Markku Oivo","Book Series Lecture Notes in Computer Science, Volume 5089/2008, Book Product-Focused Software Process Improvement, Pages 230-243, SpringerLink Date Tuesday, June 17, 2008",1
Improving Evidence about Software Technologies: A Look at Model-Based Testing,"Model-based testing (MBT) approaches help automatically generate test cases using models extracted from software artifacts, and hold the promise to greatly affect how we build software. A review of the literature shows that certain specialized domains are applying MBT, but it does not yet seem to be a mainstream approach. The authors therefore conducted a systematic review of the literature to investigate how much evidence is available on MBT's costs and benefits, especially regarding how these techniques compare to other common testing approaches. They use these results to derive suggestions regarding what types of studies might further increase the deployment of these techniques. ",2008,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4497754,"By Arilo Dias Neto , Rajesh Subramanyan , Marlon Vieira , Guilherme Horta Travassos , Forrest Shul","Found in: IEEE Software l 
Issue Date:May 2008 , pp. 10-13",1
In search of `architectural knowledge',"The software architecture community puts more and more emphasis on 'architectural knowledge'. However, there appears to be no commonly accepted definition of what architectural knowledge entails, which makes it a fuzzy concept. In order to obtain a better understanding of how different authors view 'architectural knowledge', we have conducted a systematic review to examine how architectural knowledge is defined and how the different definitions in use are related. From this review it became clear that many authors do not provide a concrete definition of what they think architectural knowledge entails. What is more intriguing, though, is that those who do give a definition seem to agree that architectural knowledge spans from problem domain through decision making to solution; an agreement that is not obvious from the definitions themselves, but which is only brought to light after careful systematic comparison of the different studies.",2010,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5659173,"Remco C. de Boer, Rik Farenhorst","SHARK '08: Proceedings of the 3rd international workshop on Sharing and reusing architectural knowledge, May 2008 , Publisher: ACM",1
Measurement in software engineering: From the roadmap to the crossroads.,"Research on software measurement can be organized around five key conceptual and methodological issues: how to apply measurement theory to software, how to frame software metrics, how to develop metrics, how to collect core measures, and how to analyze measures. The subject is of special concern for the industry, which is interested in improving practices - mainly in developing countries, where the software industry represents an opportunity for growth and usually receives institutional support for matching international quality standards. Academics are also in need of understanding and developing more effective methods for managing the software process and assessing the success of products and services, as a result of an enhanced awareness about the emergency of aligning business processes and information systems. This paper unveils the fundamentals of measurement in software engineering and discusses current issues and foreseeable trends for the subject. A literature review was performed within major academic publications in the last decade, and findings suggest a sensible shift of measurement interests towards managing the software process as a whole - without losing from sight the customary focus on hard issues like algorithm efficiency and worker productivity",1997,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=585509,"C. G. P. Bellini, R. D. D. Pereira, and J. L. Becker.","International Journal of Software Engineering and Knowledge Engineering 18 (1):37-64, 2008.",1
Mobile Systems Development: A Literature Review,"This article reviews 105 representative contributions to the literature on mobile systems development. The contributions are categorized according to a simple conceptual framework. The framework comprises four perspectives: the requirements perspective, the technology perspective, the application perspective, and the business perspective. Our literature review shows that mobile systems development is overlooked in the current debate. From the review, we extend the traditional view on systems development to encompass mobile systems and, based on the identified perspectives, we propose core characteristics for mobile systems. We also extend the traditional focus found in systems development on processes in a development project to encompass the whole of the development company as well as interorganizational linkage between development companies. Finally, we point at research directions emerging from the review that are relevant to the field of mobile systems development.",1989,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=198939,Jens Henrik Hosbond and Peter Axel Nielsen,"Book Series IFIP International Federation for Information Processing, Volume 185/2005, Book Designing Ubiquitous Information Environments: Socio-Technical Issues and Challenges, Pages 215-232, SpringerLink Date Thursday, February 09, 2006",1
"Quality, productivity and economic benefits of software reuse: a review of industrial studies","<p>Systematic software reuse is proposed to increase productivity and software quality and lead to economic benefits. Reports of successful software reuse programs in industry have been published. However, there has been little effort to organize the evidence systematically and appraise it. This review aims to assess the effects of software reuse in industrial contexts. Journals and major conferences between 1994 and 2005 were searched to find observational studies and experiments conducted in industry, returning eleven papers of observational type. Systematic software reuse is significantly related to lower problem (defect, fault or error) density in five studies and to decreased effort spent on correcting problems in three studies. The review found evidence for significant gains in apparent productivity in three studies. Other significant benefits of software reuse were reported in single studies or the results were inconsistent. Evidence from industry is sparse and combining results was done by vote-counting. Researchers should pay more attention to using comparable metrics, performing longitudinal studies, and explaining the results and impact on industry. For industry, evaluating reuse of COTS or OSS components, integrating reuse activities in software processes, better data collection and evaluating return on investment are major challenges.</p>",2007,http://dl.acm.org/citation.cfm?id=1290919&CFID=932217338&CFTOKEN=19657119,"Parastoo Mohagheghi, Reidar Conradi","Empirical Software Engineering,   Volume 12 Issue 5, October 2007, Empirical Software Engineering,   Volume 12 Issue 5, October 2007, Publisher: Kluwer Academic Publishers",1
Reflections on 10 Years of Software Process Simulation Modeling,"Software process simulation modeling (SPSM) has become an increasingly active research area since its introduction in the late 1980s. Particularly during the last ten years the related research community and the number of publications have been growing. The objective of this research is to provide insights about the evolution of SPSM research during the last 10 years. A systematic literature review was proposed with two subsequent stages to achieve this goal. This paper presents the preliminary results of the first stage of the review that is exclusively focusing on a core set of publication sources. More than 200 relevant publications were analyzed in order to find answers to the research questions, including the purposes and scopes of SPSM, application domains, and predominant research issues. From the analysis the following conclusions could be drawn: (1) Categories for classifying software process simulation models as suggested by the authors of a landmark publication in 1999 should be adjusted and refined to better capture the diversity of published models. (2) Research improving the efficiency of SPSM is gaining importance. (3) Hybrid process simulation models have attracted interest as a possibility to more realistically capture complex real-world software processes. ",2014,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6984090,"He Zhang, Barbara Kitchenham and Dietmar Pfahl","Book Series Lecture Notes in Computer Science, Volume 5007/2008, Book Making Globally Distributed Software Development a Success Story, Pages 345-356, SpringerLink Date Tuesday, May 06, 2008",1
Software process improvement in small and medium software enterprises: a systematic review,"Small and medium enterprises are a very important cog in the gears of the world economy. The software industry in most countries is composed of an industrial scheme that is made up mainly of small and medium software enterprises--SMEs. To strengthen these types of organizations, efficient Software Engineering practices are needed--practices which have been adapted to their size and type of business. Over the last two decades, the Software Engineering community has expressed special interest in software process improvement (SPI) in an effort to increase software product quality, as well as the productivity of software development. However, there is a widespread tendency to make a point of stressing that the success of SPI is only possible for large companies. In this article, a systematic review of published case studies on the SPI efforts carried out in SMEs is presented. Its objective is to analyse the existing approaches towards SPI which focus on SMEs and which report a case study carried out in industry. A further objective is that of discussing the significant issues related to this area of knowledge, and to provide an up-to-date state of the art, from which innovative research activities can be thought of and planned.",2011,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6083172,"Francisco J. Pino, F?lix Garc?a, Mario Piattini","Software Quality Control,   Volume 16 Issue 2, June 2008, Publisher: Kluwer Academic Publishers, pp 237 - 261",1
Software project economics: a roadmap,"The objective of this paper is to consider research progress in the field of software project economics with a view to identifying important challenges and promising research directions. I argue that this is an important sub-discipline since this will underpin any cost-benefit analysis used to justify the resourcing, or otherwise, of a software project. To accomplish this I conducted a bibliometric analysis of peer reviewed research articles to identify major areas of activity. My results indicate that the primary goal of more accurate cost prediction systems remains largely unachieved. However, there are a number of new and promising avenues of research including: how we can combine results from primary studies, integration of multiple predictions and applying greater emphasis upon the human aspects of prediction tasks. I conclude that the field is likely to remain very challenging due to the people-centric nature of software engineering, since it is in essence a design task. Nevertheless the need for good economic models will grow rather than diminish as software becomes increasingly ubiquitous.",2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4221628,Martin Shepperd,"FOSE '07: 2007 Future of Software Engineering , May 2007",1
Status of Empirical Research in Software Engineering,"We provide an assessment of the status of empirical software research by analyzing all refereed articles that appeared in the Journal of Empirical Software Engineering from its first issue in January 1996 through June 2006. The journal publishes empirical software research exclusively and it is the only journal to do so. The main findings are: 1. The dominant empirical methods are experiments and case studies. Other methods (correlational studies, meta analysis, surveys, descriptive approaches, ex post facto studies) occur infrequently; long-term studies are missing. About a quarter of the experiments are replications. 2. Professionals are used somewhat more frequently than students as subjects. 3. The dominant topics studied are measurement/metrics and tools/methods/frameworks. Metrics research is dominated by correlational and case studies without any experiments. 4. Important topics are underrepresented or absent, for example: programming languages, model driven development, formal methods, and others. The narrow focus on a few empirically researched topics is in contrast to the broad scope of software research. ",2013,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6618469,Andreas H?fer and Walter F. Tichy,"Book Series Lecture Notes in Computer Science, Volume 4336/2007, Book Empirical Software Engineering Issues. Critical Assessment and Future Directions, Pages 10-19, SpringerLink Date Monday, June 11, 2007",1
Systematic review of organizational motivations for adopting CMM-based SPI,"Background: Software Process Improvement (SPI) is intended to improve software engineering, but can only be effective if used. To improve SPI's uptake, we should understand why organizations adopt SPI. CMM-based SPI approaches are widely known and studied. Objective: We investigated why organizations adopt CMM-based SPI approaches, and how these motivations relate to organizations' size. Method: We performed a systematic review, examining reasons reported in more than forty primary studies. Results: Reasons usually related to product quality and project performance, and less commonly, to process. Organizations reported customer reasons infrequently and employee reasons very rarely. We could not show that reasons related to size. Conclusion: Despite its origins in helping to address customer-related issues for the USAF, CMM-based SPI has mostly been adopted to help organizations improve project performance and product quality issues. This reinforces a view that the goal of SPI is not to improve process per se, but instead to provide business benefits.",2008,http://dl.acm.org/citation.cfm?id=1365278&CFID=932221225&CFTOKEN=61415952,M. Staples and M. Niazi.,"Information and Software Technology 50 (7-8):605-620, 2008.",1
Systematic review: A systematic review of effect size in software engineering experiments,"An effect size quantifies the effects of an experimental treatment. Conclusions drawn from hypothesis testing results might be erroneous if effect sizes are not judged in addition to statistical significance. This paper reports a systematic review of 92 controlled experiments published in 12 major software engineering journals and conference proceedings in the decade 1993-2002. The review investigates the practice of effect size reporting, summarizes standardized effect sizes detected in the experiments, discusses the results and gives advice for improvements. Standardized and/or unstandardized effect sizes were reported in 29% of the experiments. Interpretations of the effect sizes in terms of practical importance were not discussed beyond references to standard conventions. The standardized effect sizes computed from the reviewed experiments were equal to observations in psychology studies and slightly larger than standard conventions in behavioral science. ",2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4052585,"Vigdis By Kampenes, Tore Dyb?, Jo E. Hannay, Dag I. K. Sj?berg","Information and Software Technology,   Volume 49 Issue 11-12, November 2007, Publisher: Butterworth-Heinemann pp. 1073 - 1086",1
Tailoring and Introduction of the Rational Unified Process,RUP is a comprehensive software development process framework that has gained a lot of interest by the industry. One major challenge of taking RUP into use is to tailor it to specific needs and then to introduce it into a development organization. This study presents a review and a systematic assembly of existing studies on the tailoring and introduction of RUP. From a systematic search for study reports on this topic we found that most research is anecdotal and focus on the effects of RUP itself. Only a few number of studies address tailoring and introduction. We have found that tailoring RUP is a considerable challenge by itself and that it must be closely related to existing best practices. We see a tendency of turning from large complete process frameworks towards smaller and more light-weight processes which may impose a smoother transition from process model to process in use. ,2009,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5362562,"Geir Kjetil Hanssen, Finn Olav Bj?rnson and Hans Westerheim","Book Series Lecture Notes in Computer Science, Publisher Springer Berlin / Heidelberg, Volume 4764/2007, Book Software Process Improvement, Pages 7-18, SpringerLink Date Thursday, September 13, 2007",1
Techniques for developing more accessible web applications: a survey towards a process classification,"<p>The Web has become one of the most important communication media, since it is spread all over the world. In order to enable everyone to access this medium, Web accessibility has become an emerging topic, and many techniques have been evolved to support the development of accessible Web content. This paper presents a survey on techniques for Web accessibility and proposes a classification into the processes of ISO/IEC 12207 standard. The survey was carried out applying systematic review principles during the literature review. The results include analysis obtained from the synthesis of 53 studies, selected from an initial set of 844. Although the survey results indicate a growth in research on techniques for design and evaluation of Web applications, they also indicate that several development activities have been poorly addressed by scientific research efforts.</p>",2007,http://dl.acm.org/citation.cfm?id=1297177&CFID=932218671&CFTOKEN=40893134,"Andre Pimenta Freire, Rudinei Goularte, Renata Pontin de Mattos Fortes","SIGDOC '07: Proceedings of the 25th annual ACM international conference on Design of communication , October 2007  , Publisher: ACM",1
The Role of Deliberate Artificial Design Elements in Software Engineering Experiments,"Increased realism in software engineering experiments is often promoted as an important means of increasing generalizability and industrial relevance. In this context, artificiality, e.g., the use of constructed tasks in place of realistic tasks, is seen as a threat. In this paper, we examine the opposite view that deliberately introduced artificial design elements may increase knowledge gain and enhance both generalizability and relevance. In the first part of this paper, we identify and evaluate arguments and examples in favor of and against deliberately introducing artificiality into software engineering experiments. We find that there are good arguments in favor of deliberately introducing artificial design elements to 1) isolate basic mechanisms, 2) establish the existence of phenomena, 3) enable generalization from particularly unfavorable to more favorable conditions (persistence of phenomena), and 4) relate experiments to theory. In the second part of this paper, we summarize a content analysis of articles that report software engineering experiments published over a 10-year period from 1993 to 2002. The analysis reveals a striving for realism and external validity, but little awareness of for what and when various degrees of artificiality and realism are appropriate. Furthermore, much of the focus on realism seems to be based on a narrow understanding of the nature of generalization. We conclude that an increased awareness and deliberation as to when and for what purposes both artificial and realistic design elements are applied is valuable for better knowledge gain and quality in empirical software engineering experiments. We also conclude that time spent on studies that have obvious threats to validity that are due to artificiality might be better spent on studies that investigate research questions for which artificiality is a strength rather than a weakness. However, arguments in favor of artificial design elements should not be used to justify studies - - that are badly designed or that have research questions of low relevance.",2008,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4453833,"By Jo Hannay , Magne J?rgensen","Found in: IEEE Transactions on Software Engineering 
Issue Date:March 2008 , pp. 242-259",1
The type of evidence produced by empirical software engineers,"This paper reports on the research published between the years 1997 and 2003 inclusive in the journal of Empirical Software Engineering, drawing on the taxonomy developed by Glass et al. in [3]. We found that the research was somewhat narrow in topic with about half the papers focusing on measurement/metrics, review and inspection; that researchers were almost as interested in formulating as in evaluating; that hypothesis testing and laboratory experiments dominated evaluations; that research was not very likely to focus on people and extremely unlikely to refer to other disciplines. We discuss our findings in the context of making empirical software engineering more relevant to practitioners.",2005,http://dl.acm.org/citation.cfm?id=1083176&CFID=932225534&CFTOKEN=50437810,"Judith Segal, Antony Grinyer, Helen Sharp","REBSE '05: Proceedings of the 2005 workshop on Realising evidence-based software engineering, May 2005, Publisher: ACM, pp. 66-73",1
Where Is the Proof? - A Review of Experiences from Applying MDE in Industry,"<p><p>Model-Driven Engineering (MDE) has been promoted as a solution to handle the complexity of software development by raising the abstraction level and automating labor-intensive and error-prone tasks. However, few efforts have been made at collecting evidence to evaluate its benefits and limitations, which is the subject of this review. We searched several publication channels in the period 2000 to June 2007 for empirical studies on applying MDE in industry, which produced 25 papers for the review. Our findings include industry motivations for investigating MDE and the different domains it has been applied to. In most cases the maturity of third-party tool environments is still perceived as unsatisfactory for large-scale industrial adoption. We found reports of improvements in software quality and of both productivity gains and losses, but these reports were mainly from small-scale studies. There are a few reports on advantages of applying MDE in larger projects, however, more empirical studies and detailed data are needed to strengthen the evidence. We conclude that there is too little evidence to allow generalization of the results at this stage.</p></p>",2008,http://dl.acm.org/citation.cfm?id=1426373&CFID=932208349&CFTOKEN=54965093,Parastoo Mohagheghi and Vegard Dehlen,"Book Series Lecture Notes in Computer Science, Volume 5095/2008, Book Model Driven Architecture ? Foundations and Applications, Pages 432-443, SpringerLink Date Friday, June 06, 2008",1
Cross versus Within-Company Cost Estimation Studies: A Systematic Review,"The objective of this paper is to determine under what circumstances individual organizations would be able to rely on cross-company-based estimation models. We performed a systematic review of studies that compared predictions from cross-company models with predictions from within-company models based on analysis of project data. Ten papers compared cross-company and within-company estimation models; however, only seven presented independent results. Of those seven, three found that cross-company models were not significantly different from within-company models, and four found that cross-company models were significantly worse than within-company models. Experimental procedures used by the studies differed making it impossible to undertake formal meta-analysis of the results. The main trend distinguishing study results was that studies with small within-company data sets (i.e., $20 projects) that used leave-one-out cross validation all found that the within-company model was significantly different (better) from the cross-company model. The results of this review are inconclusive. It is clear that some organizations would be ill-served by cross-company models whereas others would benefit. Further studies are needed, but they must be independent (i.e., based on different data bases or at least different single company data sets) and should address specific hypotheses concerning the conditions that would favor cross-company or within-company models. In addition, experimenters need to standardize their experimental procedures to enable formal meta-analysis, and recommendations are made in Section 3.",2007,http://ieeexplore.ieee.org/abstract/document/4160970/,"By Barbara A. Kitchenham , Emilia Mendes , Guilherme H. Travassos","Found in: IEEE Transactions on Software Engineering ,Issue Date:May 2007 
pp. 316-329",1
A Systematic Review of Software Development Cost Estimation Studies,"This paper aims to provide a basis for the improvement of software-estimation research through a systematic review of previous work. The review identifies 304 software cost estimation papers in 76 journals and classifies the papers according to research topic, estimation approach, research approach, study context and data set. A Web-based library of these cost estimation papers is provided to ease the identification of relevant estimation research results. The review results combined with other knowledge provide support for recommendations for future software cost estimation research, including: 1) increase the breadth of the search for relevant studies, 2) search manually for relevant papers within a carefully selected set of journals when completeness is essential, 3) conduct more studies on estimation methods commonly used by the software industry, and 4) increase the awareness of how properties of the data sets impact the results when evaluating estimation methods",2007,http://ieeexplore.ieee.org/abstract/document/4027147/,"By Magne Jorgensen , Martin Shepperd","Found in: IEEE Transactions on Software Engineering ,Issue Date:January 2007 
pp. 33-53",1
