Index,Title,Abstract,Year,PDF Link,Authors,Source,Predict,Relevant,Objective,Method,Result
17,Reflections on 10 Years of Software Process Simulation Modeling,"Software process simulation modeling (SPSM) has become an increasingly active research area since its introduction in the late 1980s. Particularly during the last ten years the related research community and the number of publications have been growing. The objective of this research is to provide insights about the evolution of SPSM research during the last 10 years. A systematic literature review was proposed with two subsequent stages to achieve this goal. This paper presents the preliminary results of the first stage of the review that is exclusively focusing on a core set of publication sources. More than 200 relevant publications were analyzed in order to find answers to the research questions, including the purposes and scopes of SPSM, application domains, and predominant research issues. From the analysis the following conclusions could be drawn: (1) Categories for classifying software process simulation models as suggested by the authors of a landmark publication in 1999 should be adjusted and refined to better capture the diversity of published models. (2) Research improving the efficiency of SPSM is gaining importance. (3) Hybrid process simulation models have attracted interest as a possibility to more realistically capture complex real-world software processes. ",2014,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6984090,"He Zhang, Barbara Kitchenham and Dietmar Pfahl","Book Series Lecture Notes in Computer Science, Volume 5007/2008, Book Making Globally Distributed Software Development a Success Story, Pages 345-356, SpringerLink Date Tuesday, May 06, 2008",1,1,The objective of this research is to provide insights about the evolution of SPSM research during the last 10 years.,nan,This paper presents the preliminary results of the first stage of the review that is exclusively focusing on a core set of publication sources.
20,Status of Empirical Research in Software Engineering,"We provide an assessment of the status of empirical software research by analyzing all refereed articles that appeared in the Journal of Empirical Software Engineering from its first issue in January 1996 through June 2006. The journal publishes empirical software research exclusively and it is the only journal to do so. The main findings are: 1. The dominant empirical methods are experiments and case studies. Other methods (correlational studies, meta analysis, surveys, descriptive approaches, ex post facto studies) occur infrequently; long-term studies are missing. About a quarter of the experiments are replications. 2. Professionals are used somewhat more frequently than students as subjects. 3. The dominant topics studied are measurement/metrics and tools/methods/frameworks. Metrics research is dominated by correlational and case studies without any experiments. 4. Important topics are underrepresented or absent, for example: programming languages, model driven development, formal methods, and others. The narrow focus on a few empirically researched topics is in contrast to the broad scope of software research. ",2013,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6618469,Andreas H?fer and Walter F. Tichy,"Book Series Lecture Notes in Computer Science, Volume 4336/2007, Book Empirical Software Engineering Issues. Critical Assessment and Future Directions, Pages 10-19, SpringerLink Date Monday, June 11, 2007",1,1,nan,The dominant empirical methods are experiments and case studies.,nan
22,Systematic review: A systematic review of effect size in software engineering experiments,"An effect size quantifies the effects of an experimental treatment. Conclusions drawn from hypothesis testing results might be erroneous if effect sizes are not judged in addition to statistical significance. This paper reports a systematic review of 92 controlled experiments published in 12 major software engineering journals and conference proceedings in the decade 1993-2002. The review investigates the practice of effect size reporting, summarizes standardized effect sizes detected in the experiments, discusses the results and gives advice for improvements. Standardized and/or unstandardized effect sizes were reported in 29% of the experiments. Interpretations of the effect sizes in terms of practical importance were not discussed beyond references to standard conventions. The standardized effect sizes computed from the reviewed experiments were equal to observations in psychology studies and slightly larger than standard conventions in behavioral science. ",2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4052585,"Vigdis By Kampenes, Tore Dyb?, Jo E. Hannay, Dag I. K. Sj?berg","Information and Software Technology,   Volume 49 Issue 11-12, November 2007, Publisher: Butterworth-Heinemann pp. 1073 - 1086",1,1,nan,nan,Conclusions drawn from hypothesis testing results might be erroneous if effect sizes are not judged in addition to statistical significance.
23,Tailoring and Introduction of the Rational Unified Process,RUP is a comprehensive software development process framework that has gained a lot of interest by the industry. One major challenge of taking RUP into use is to tailor it to specific needs and then to introduce it into a development organization. This study presents a review and a systematic assembly of existing studies on the tailoring and introduction of RUP. From a systematic search for study reports on this topic we found that most research is anecdotal and focus on the effects of RUP itself. Only a few number of studies address tailoring and introduction. We have found that tailoring RUP is a considerable challenge by itself and that it must be closely related to existing best practices. We see a tendency of turning from large complete process frameworks towards smaller and more light-weight processes which may impose a smoother transition from process model to process in use. ,2009,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5362562,"Geir Kjetil Hanssen, Finn Olav Bj?rnson and Hans Westerheim","Book Series Lecture Notes in Computer Science, Publisher Springer Berlin / Heidelberg, Volume 4764/2007, Book Software Process Improvement, Pages 7-18, SpringerLink Date Thursday, September 13, 2007",1,1,nan,One major challenge of taking RUP into use is to tailor it to specific needs and then to introduce it into a development organization.,nan
24,Techniques for developing more accessible web applications: a survey towards a process classification,"<p>The Web has become one of the most important communication media, since it is spread all over the world. In order to enable everyone to access this medium, Web accessibility has become an emerging topic, and many techniques have been evolved to support the development of accessible Web content. This paper presents a survey on techniques for Web accessibility and proposes a classification into the processes of ISO/IEC 12207 standard. The survey was carried out applying systematic review principles during the literature review. The results include analysis obtained from the synthesis of 53 studies, selected from an initial set of 844. Although the survey results indicate a growth in research on techniques for design and evaluation of Web applications, they also indicate that several development activities have been poorly addressed by scientific research efforts.</p>",2007,http://dl.acm.org/citation.cfm?id=1297177&CFID=932218671&CFTOKEN=40893134,"Andre Pimenta Freire, Rudinei Goularte, Renata Pontin de Mattos Fortes","SIGDOC '07: Proceedings of the 25th annual ACM international conference on Design of communication , October 2007  , Publisher: ACM",1,1,This paper presents a survey on techniques for Web accessibility and proposes a classification into the processes of ISO/IEC 12207 standard.,nan,"The results include analysis obtained from the synthesis of 53 studies, selected from an initial set of 844.Although the survey results indicate a growth in research on techniques for design and evaluation of Web applications, they also indicate that several development activities have been poorly addressed by scientific research efforts.</p>"
25,The Role of Deliberate Artificial Design Elements in Software Engineering Experiments,"Increased realism in software engineering experiments is often promoted as an important means of increasing generalizability and industrial relevance. In this context, artificiality, e.g., the use of constructed tasks in place of realistic tasks, is seen as a threat. In this paper, we examine the opposite view that deliberately introduced artificial design elements may increase knowledge gain and enhance both generalizability and relevance. In the first part of this paper, we identify and evaluate arguments and examples in favor of and against deliberately introducing artificiality into software engineering experiments. We find that there are good arguments in favor of deliberately introducing artificial design elements to 1) isolate basic mechanisms, 2) establish the existence of phenomena, 3) enable generalization from particularly unfavorable to more favorable conditions (persistence of phenomena), and 4) relate experiments to theory. In the second part of this paper, we summarize a content analysis of articles that report software engineering experiments published over a 10-year period from 1993 to 2002. The analysis reveals a striving for realism and external validity, but little awareness of for what and when various degrees of artificiality and realism are appropriate. Furthermore, much of the focus on realism seems to be based on a narrow understanding of the nature of generalization. We conclude that an increased awareness and deliberation as to when and for what purposes both artificial and realistic design elements are applied is valuable for better knowledge gain and quality in empirical software engineering experiments. We also conclude that time spent on studies that have obvious threats to validity that are due to artificiality might be better spent on studies that investigate research questions for which artificiality is a strength rather than a weakness. However, arguments in favor of artificial design elements should not be used to justify studies - - that are badly designed or that have research questions of low relevance.",2008,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4453833,"By Jo Hannay , Magne J?rgensen","Found in: IEEE Transactions on Software Engineering 
Issue Date:March 2008 , pp. 242-259",1,1,We conclude that an increased awareness and deliberation as to when and for what purposes both artificial and realistic design elements are applied is valuable for better knowledge gain and quality in empirical software engineering experiments.,"In this context, artificiality, e.g., the use of constructed tasks in place of realistic tasks, is seen as a threat.",nan
26,The type of evidence produced by empirical software engineers,"This paper reports on the research published between the years 1997 and 2003 inclusive in the journal of Empirical Software Engineering, drawing on the taxonomy developed by Glass et al. in [3]. We found that the research was somewhat narrow in topic with about half the papers focusing on measurement/metrics, review and inspection; that researchers were almost as interested in formulating as in evaluating; that hypothesis testing and laboratory experiments dominated evaluations; that research was not very likely to focus on people and extremely unlikely to refer to other disciplines. We discuss our findings in the context of making empirical software engineering more relevant to practitioners.",2005,http://dl.acm.org/citation.cfm?id=1083176&CFID=932225534&CFTOKEN=50437810,"Judith Segal, Antony Grinyer, Helen Sharp","REBSE '05: Proceedings of the 2005 workshop on Realising evidence-based software engineering, May 2005, Publisher: ACM, pp. 66-73",1,1,nan,nan,nan
28,Cross versus Within-Company Cost Estimation Studies: A Systematic Review,"The objective of this paper is to determine under what circumstances individual organizations would be able to rely on cross-company-based estimation models. We performed a systematic review of studies that compared predictions from cross-company models with predictions from within-company models based on analysis of project data. Ten papers compared cross-company and within-company estimation models; however, only seven presented independent results. Of those seven, three found that cross-company models were not significantly different from within-company models, and four found that cross-company models were significantly worse than within-company models. Experimental procedures used by the studies differed making it impossible to undertake formal meta-analysis of the results. The main trend distinguishing study results was that studies with small within-company data sets (i.e., $20 projects) that used leave-one-out cross validation all found that the within-company model was significantly different (better) from the cross-company model. The results of this review are inconclusive. It is clear that some organizations would be ill-served by cross-company models whereas others would benefit. Further studies are needed, but they must be independent (i.e., based on different data bases or at least different single company data sets) and should address specific hypotheses concerning the conditions that would favor cross-company or within-company models. In addition, experimenters need to standardize their experimental procedures to enable formal meta-analysis, and recommendations are made in Section 3.",2007,http://ieeexplore.ieee.org/abstract/document/4160970/,"By Barbara A. Kitchenham , Emilia Mendes , Guilherme H. Travassos","Found in: IEEE Transactions on Software Engineering ,Issue Date:May 2007 
pp. 316-329",1,1,The objective of this paper is to determine under what circumstances individual organizations would be able to rely on cross-company-based estimation models.,Experimental procedures used by the studies differed making it impossible to undertake formal meta-analysis of the results.,"Ten papers compared cross-company and within-company estimation models; however, only seven presented independent results."
33,A systematic review of Web engineering research,"Abstract:
This paper uses a systematic literature review as means of investigating the rigor of claims arising from Web engineering research. Rigor is measured using criteria combined from software engineering research. We reviewed 173 papers and results have shown that only 5% would be considered rigorous methodologically. In addition to presenting our results, we also provide suggestions for improvement of Web engineering research based on lessons learnt by the software engineering community.",2005,http://ieeexplore.ieee.org/abstract/document/1541857/,By E. Mendes,"Found in: 2005 International Symposium on Empirical Software Engineering, 2005. 
Issue Date:November 2005 , pp. 10 pp.",1,1,nan,"Abstract:
This paper uses a systematic literature review as means of investigating the rigor of claims arising from Web engineering research.",We reviewed 173 papers and results have shown that only 5% would be considered rigorous methodologically.
34,Are Two Heads Better than One? On the Effectiveness of Pair Programming,"Pair programming is a collaborative approach that makes working in pairs rather than individually the primary work style for code development. Because PP is a radically different approach than many developers are used to, it can be hard to predict the effects when a team switches to PP. Because projects focus on different things, this article concentrates on understanding general aspects related to effectiveness, specifically project duration, effort, and quality. Not unexpectedly, our meta-analysis showed that the question of whether two heads are better than one isn't precise enough to be meaningful. Given the evidence, the best answer is ""it depends"" - on both the programmer's expertise and the complexity of the system and tasks to be solved. Two heads are better than one for achieving correctness on highly complex programming tasks. They might also have a time gain on simpler tasks. Additional studies would be useful. For example, further investigation is clearly needed into the interaction of complexity and programmer experience and how they affect the appropriateness of a PP approach; our current understanding of this phenomenon rests chiefly on a single (although large) study. Only by understanding what makes pairs work and what makes them less efficient can we take steps to provide beneficial work conditions, to avoid detrimental conditions, and to avoid pairing altogether when conditions are detrimental. With the right cooks and the right combination of ingredients, the broth has the potential to be very good indeed.",2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4375233,"By Tore Dyb? , Erik Arisholm , Dag I.K. Sj?berg , Jo E. Hannay , Forrest Shull","Found in: IEEE Software 
Issue Date:November 2007 , pp. 12-15",1,1,nan,Pair programming is a collaborative approach that makes working in pairs rather than individually the primary work style for code development.,nan
35,Do SQA Programs Work - CMM Works. A Meta Analysis,"Many software development professionals and managers of software development organizations are not fully convinced in the profitability of investments for the advancement of SQA systems. The results included in each of the articles we found, cannot lead to general conclusions on the impact of investments in upgrading an SQA system. Our meta analysis was based on CMM level transition (CMMLT) analysis of available publications and was for the seven most common performance metric. The CMMLT analysis is applicable for combined analysis of empirical data from many sources. Each record in our meta analysis database is calculated as ""after-before ratio"", which is nearly free of the studied organization's characteristics. Because the CMM guidelines and SQA requirement are similar, we claim that the results for CMM programs are also applicable to investments in SQA systems. The extensive database of over 1,800 projects from a variety of 19 information sources leading to the meta analysis results - proved that investments in CMM programs and similarly in SQA systems contribute to software development performance.",2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1421069,"By Daniel Galin , Moti Avrahami","Found in: IEEE International Conference on Software - Science, Technology & Engineering (SwSTE'05) 
Issue Date:February 2005 
pp. 95-100",1,1,nan,nan,"The results included in each of the articles we found, cannot lead to general conclusions on the impact of investments in upgrading an SQA system."
37,"Capture-recapture in software inspections after 10 years research - theory, evaluation and application.","Software inspection is a method to detect faults in the early phases of the software life cycle. In order to estimate the number of faults?not?found, capture?recapture was introduced for software inspections in 1992 to estimate remaining faults after an inspection. Since then, several papers have been written in the area, concerning the basic theory, evaluation of models and application of the method. This paper summarizes the work made in capture?recapture for software inspections during these years. Furthermore, and more importantly, the contribution of the papers are classified as?theory,?evaluation?or?application, in order to analyse the performed research as well as to highlight the areas of research that need further work. It is concluded that (1) most of the basic theory is investigated within biostatistics, (2) most software engineering research is performed on evaluation, a majority ending up in recommendation of the Mh?JK model, and (3) there is a need for application experiences. In order to support the application, an inspection process is presented with decision points based on capture?recapture estimates.",2004,http://www.sciencedirect.com/science/article/pii/S0164121203000906,"H. Petersson, T. Thelin, P. Runeson, and C. Wohlin.","Journal of Systems and Software 72 (2):249-264, 2004.",1,1,nan,Software inspection is a method to detect faults in the early phases of the software life cycle.,nan
39,Software effort estimation terminology: The tower of Babel.,"It is well documented that the software industry suffers from frequent cost overruns. A contributing factor is, we believe, the imprecise estimation terminology in use. A lack of clarity and precision in the use of estimation terms reduces the interpretability of estimation accuracy results, makes the communication of estimates difficult, and lowers the learning possibilities. This paper reports on a structured review of typical software effort estimation terminology in software engineering textbooks and software estimation research papers. The review provides evidence that the term ?effort estimate? is frequently used without sufficient clarification of its meaning, and that estimation accuracy is often evaluated without ensuring that the estimated and the actual effort are comparable. Guidelines are suggested on how to reduce this lack of clarity and precision in terminology.",2006,http://www.sciencedirect.com/science/article/pii/S0950584905000674,"S. Grimstad, M. Jorgensen, and K. Molokken-Ostvold.","Information and Software Technology 48 (4):302-310, 2006.",1,1,nan,"A contributing factor is, we believe, the imprecise estimation terminology in use.","A lack of clarity and precision in the use of estimation terms reduces the interpretability of estimation accuracy results, makes the communication of estimates difficult, and lowers the learning possibilities."
40,In Search of What We Experimentally Know about Unit Testing,"Gathering evidence in any discipline is a lengthy procedure, requiring experimentation and empirical confirmation to transform information from mere opinion to undisputed fact. Software engineering is a relatively young field and experimental SE is even younger, so undisputed facts are few and far between. Nevertheless, ESE's relevance is growing because experimental results can help practitioners make better decisions. We have aggregated results from unit-testing experiments with the aim of identifying information with some experimental basis that might help practitioners make decisions. Most of the experiments focus on two important characteristics of testing techniques: effectiveness and efficiency. Some other experiments study the quality of test-case sets according to different criteria",2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4012628,"By Natalia Juristo , Ana M. Moreno , Sira Vegas , Martin Solari","Found in: IEEE Software 
Issue Date:November 2006 
pp. 72-80",1,1,nan,nan,"Nevertheless, ESE's relevance is growing because experimental results can help practitioners make better decisions."
41,Precise Identification of Side-Effect-Free Methods in Java,"Knowing which methods do not have side effects is necessary in a variety of software tools for program understanding, restructuring, optimization, and verification. We present a general approach for identifying side-effect-free methods in Java software. Our technique is parameterized by class analysis and is designed to work on incomplete programs. We present empirical results from two instantiations of the approach, based on rapid type analysis and on points-to analysis. In our experiments with several components, on average 22% of the investigated methods were identified as free of side effects. We also present a precision evaluation which shows that the approach achieves almost perfect precision - i.e., it almost never misses methods that in reality have no side effects. These results indicate that very precise identification of side-effect-free methods is possible with simple and inexpensive analysis techniques, and therefore can be easily incorporated in software tools.",2004,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1357793,By Atanas Rountev,"Found in: 20th IEEE International Conference on Software Maintenance (ICSM'04) 
Issue Date:September 2004 
pp. 82-91",1,1,nan,"Knowing which methods do not have side effects is necessary in a variety of software tools for program understanding, restructuring, optimization, and verification.","We present empirical results from two instantiations of the approach, based on rapid type analysis and on points-to analysis."
