Index,Year,Title,Authors,Abstract,Topics
10,2019.0,A review of research on machine learning in educational technology,"Korkmaz, C; Correia, AP","The purpose of this review is to investigate the trends in the body of research on machine learning in educational technologies, published between 2007 and 2017. The criteria for article selection were as follows: (1) study on machine learning in educational/learning technologies, (2) published between 2007-2017, (3) published in a peer-reviewed outlet, and (4) an empirical study, literature review, or meta-analysis. Eighty-nine articles were chosen, after the first round of the article selection process. Through a second look at the articles, fifteen articles that did not match the criteria were eliminated. After the close examination of the seventy-four articles, certain demographical and thematic trends emerged. The top contributors to the body of research were Taiwan and the United States while the most productive year was 2017. The most utilized machine learning methods were vectors and decision trees. Commonly researched areas, on the other hand, were automation, cognitive process assessment, prediction, intelligent tutoring systems, and opportunities and challenges in the use of big data & learning analytics. Recommendations for future research focus on expanding geographical diversity, incorporating Bayesian and fuzzy logic methods more in educational machine learning work.",3
11,2021.0,Machine Learning for industrial applications: A comprehensive literature review,"Bertolini, M; Mezzogori, D; Neroni, M; Zammori, F","Machine Learning (ML) is a branch of artificial intelligence that studies algorithms able to learn autonomously, directly from the input data. Over the last decade, ML techniques have made a huge leap forward, as demonstrated by Deep Learning (DL) algorithms implemented by autonomous driving cars, or by electronic strategy games. Hence, researchers have started to consider ML also for applications within the industrial field, and many works indicate ML as one the main enablers to evolve a traditional manufacturing system up to the Industry 4.0 level. Nonetheless, industrial applications are still few and limited to a small cluster of international companies. This paper deals with these topics, intending to clarify the real potentialities, as well as potential flaws, of ML algorithms applied to operation management. A comprehensive review is presented and organized in a way that should facilitate the orientation of practitioners in this field. To this aim, papers from 2000 to date are categorized in terms of the applied algorithm and application domain, and a keyword analysis is also performed, to details the most promising topics in the field. What emerges is a consistent upward trend in the number of publications, with a spike of interest for unsupervised and especially deep learning techniques, which recorded a very high number of publications in the last five years. Concerning trends, along with consolidated research areas, recent topics that are growing in popularity were also discovered. Among these, the main ones are production planning and control and defect analysis, thus suggesting that in the years to come ML will become pervasive in many fields of operation management.",4
12,2020.0,Utilizing crowdsourcing and machine learning in education: Literature review,"Alenezi, HS; Faisal, MH","For many years, learning continues to be a vital developing field since it is the key measure of the world's civilization and evolution with its enormous effect on both individuals and societies. Enhancing existing learning activities in general will have a significant impact on literacy rates around the world. One of the crucial activities in education is the assessment method because it is the primary way used to evaluate the student during their studies. The main purpose of this review is to examine the existing learning and e-learning approaches that use either crowdsourcing, machine learning, or both crowdsourcing and machine learning in their proposed solutions. This review will also investigate the addressed applications to identify the existing researches related to the assessment. Identifying all existing applications will assist in finding the unexplored gaps and limitations. This study presents a systematic literature review investigating 30 papers from the following databases: IEEE and ACM Digital Library. After performing the analysis, we found that crowdsourcing is utilized in 47.8% of the investigated learning activities, while each of the machine learning and the hybrid solutions are utilized in 26% of the investigated learning activities. Furthermore, all the existing approaches regarding the exam assessment problem that are using machine learning or crowdsourcing were identified. Some of the existing assessment systems are using the crowdsourcing approach and other systems are using the machine learning, however, none of the approaches provide a hybrid assessment system that uses both crowdsourcing and machine learning. Finally, it is found that using either crowdsourcing or machine learning in the online courses will enhance the interactions between the students. It is concluded that the current learning activities need to be enhanced since it is directly affecting the student's performance. Moreover, merging both the machine learning to the crowd wisdom will increase the accuracy and the efficiency of education.",4
13,2020.0,A Systematic Literature Review of Machine Learning Applications for Port's Operations,"Mekkaoui, SE; Benabbou, L; Berrado, A","In transportation systems, there is a need of Machine Learning (ML) to create intelligent solutions for many issues. In port's studies, there has been a long focus on optimization and simulation modeling, but still, ML served in building more complex decision support systems for better management of port operations. To evaluate the contributions in the application of ML for port operations, we conducted this Systematic Literature Review (SLR) in order to select and characterize the most relevant papers. This paper, reports the applied research protocol and its results, and highlights the gaps that could be addressed in future works.",1
14,2020.0,Machine learning and automated systematic literature review: a systematic review,"Tsunoda, DF; Moreira, PSD; Guimaraes, AJR","In recent times, several systematic literature reviews have been published. However, to the best of our knowledge, no studies have been identified that summarize the papers published so far. For this reason, this research seeks to identify machine learning tools and methods, most cited articles, countries, reference authors, areas and datasets are used to automate systematic reviews. In this regard, we analyzed, based on the recommendation Preferred Reporting Items for Systematic Reviews, 35 of 328 scientific documents retrieved from the Web of Science (116) and Scopus (212) databases, without language or period constraints. The search terms were: (a) systematic review, machine learning and tool and (b) revisao sistematica, apredizagem de maquina and ferramenta. The search with Portuguese terms returned no articles. The results show that the production growth related to the theme is 74.29% of the records published after 2016 and identifies the interest of researchers for using text mining techniques, which is the most used keyword by the authors. Regarding the methods found, this research found Support Vector Machine algorithm as the most frequent, being used in nine studies, followed by Artificial Neural Networks and NaIve Bayes, with three and two applications each. One of the findings of the research is that the systematic reviews has a major application to the medical area, representing 51.43% of the documents recovered. As for the medical area databases, 34.29% (12/35) of the studies explained the use of PubMed as a source; 5.71% (2/35) Medline; and other 5.71% (2/35) O'Mara -Eves dataset. The other 5.71% (2/35) mentioned the use of datasets without specifying their origin. Finally, we stress that we could not found any tool able to be unrestrictedly used for systematic reviews. The best results were obtained with semi-automated experiments, partly performed by a tool and partly, manual.",4
15,2020.0,A Systematic Literature Review on Machine Learning for Automated Requirements Classification,"Perez-Verdejo, JM; Sanchez-Garcia, AJ; Ocharan-Hernandez, JO","The development of quality software begins with the correct identification of the system needs. These requirements represent the basis of the subsequent activities in the software life cycle. The correct identification of these requirements in their different categories impacts on the actions taken to meet them. However, this classification can be often time-consuming or error-prone when it comes to large-scale systems, so different proposals have been made to assist in this process automatically. This systematic literature review identifies those applications of Machine Learning techniques in the classification of software requirements. In this regard, 13 articles were identified, from which relevant information on the applied algorithms, their training process, and their evaluation metrics are analyzed. From the results obtained, it is identified that the most recurrent classification algorithms featured on the identified studies are Naive Bayes, Decision Trees, and Natural Language Processing algorithms. The most frequent training datasets are academic databases and collected user reviews.",4
16,2012.0,Systematic literature review of machine learning based software development effort estimation models,"Wen, JF; Li, SX; Lin, ZY; Hu, Y; Huang, CQ","Context: Software development effort estimation (SDEE) is the process of predicting the effort required to develop a software system. In order to improve estimation accuracy, many researchers have proposed machine learning (ML) based SDEE models (ML models) since 1990s. However, there has been no attempt to analyze the empirical evidence on ML models in a systematic way. Objective: This research aims to systematically analyze ML models from four aspects: type of ML technique, estimation accuracy, model comparison, and estimation context. Method: We performed a systematic literature review of empirical studies on ML model published in the last two decades (1991-2010). Results: We have identified 84 primary studies relevant to the objective of this research. After investigating these studies, we found that eight types of ML techniques have been employed in SDEE models. Overall speaking, the estimation accuracy of these ML models is close to the acceptable level and is better than that of non-ML models. Furthermore, different ML models have different strengths and weaknesses and thus favor different estimation contexts. Conclusion: ML models are promising in the field of SDEE. However, the application of ML models in industry is still limited, so that more effort and incentives are needed to facilitate the application of ML models. To this end, based on the findings of this review, we provide recommendations for researchers as well as guidelines for practitioners. (C) 2011 Elsevier B.V. All rights reserved.",4
17,2019.0,Machine Learning in Banking Risk Management: A Literature Review,"Leo, M; Sharma, S; Maddulety, K","There is an increasing influence of machine learning in business applications, with many solutions already implemented and many more being explored. Since the global financial crisis, risk management in banks has gained more prominence, and there has been a constant focus around how risks are being detected, measured, reported and managed. Considerable research in academia and industry has focused on the developments in banking and risk management and the current and emerging challenges. This paper, through a review of the available literature seeks to analyse and evaluate machine-learning techniques that have been researched in the context of banking risk management, and to identify areas or problems in risk management that have been inadequately explored and are potential areas for further research. The review has shown that the application of machine learning in the management of banking risks such as credit risk, market risk, operational risk and liquidity risk has been explored; however, it doesn't appear commensurate with the current industry level of focus on both risk management and machine learning. A large number of areas remain in bank risk management that could significantly benefit from the study of how machine learning can be applied to address specific problems.",1
18,2020.0,Corporate Default Predictions Using Machine Learning: Literature Review,"Kim, H; Cho, H; Ryu, D","Corporate default predictions play an essential role in each sector of the economy, as highlighted by the global financial crisis and the increase in credit risk. This study reviews the corporate default prediction literature from the perspectives of financial engineering and machine learning. We define three generations of statistical models: discriminant analyses, binary response models, and hazard models. In addition, we introduce three representative machine learning methodologies: support vector machines, decision trees, and artificial neural network algorithms. For both the statistical models and machine learning methodologies, we identify the key studies used in corporate default prediction. By comparing these methods with findings from the interdisciplinary literature, our review suggests some new tasks in the field of machine learning for predicting corporate defaults. First, a corporate default prediction model should be a multi-period model in which future outcomes are affected by past decisions. Second, the stock price and the corporate value determined by the stock market are important factors to use in default predictions. Finally, a corporate default prediction model should be able to suggest the cause of default.",1
19,2020.0,A systematic literature review of machine learning techniques for software maintainability prediction,"Alsolai, H; Roper, M","Context: Software maintainability is one of the fundamental quality attributes of software engineering. The accurate prediction of software maintainability is a significant challenge for the effective management of the software maintenance process. Objective: The major aim of this paper is to present a systematic review of studies related to the prediction of maintainability of object-oriented software systems using machine learning techniques. This review identifies and investigates a number of research questions to comprehensively summarize, analyse and discuss various viewpoints concerning software maintainability measurements, metrics, datasets, evaluation measures, individual models and ensemble models. Method: The review uses the standard systematic literature review method applied to the most common computer science digital database libraries from January 1991 to July 2018. Results: We survey 56 relevant studies in 35 journals and 21 conference proceedings. The results indicate that there is relatively little activity in the area of software maintainability prediction compared with other software quality attributes. CHANGE maintenance effort and the maintainability index were the most commonly used software measurements (dependent variables) employed in the selected primary studies, and most made use of class-level product metrics as the independent variables. Several private datasets were used in the selected studies, and there is a growing demand to publish datasets publicly. Most studies focused on regression problems and performed k-fold cross-validation. Individual prediction models were employed in the majority of studies, while ensemble models relatively rarely. Conclusion: Based on the findings obtained in this systematic literature review, ensemble models demonstrated increased accuracy prediction over individual models, and have been shown to be useful models in predicting software maintainability. However, their application is relatively rare and there is a need to apply these, and other models to an extensive variety of datasets with the aim of improving the accuracy and consistency of results.",4
20,2019.0,A systematic literature review of machine learning methods applied to predictive maintenance,"Carvalho, TP; Soares, FAAMN; Vita, R; Francisco, RD; Basto, JP; Alcala, SGS","The amount of data extracted from production processes has increased exponentially due to the proliferation of sensing technologies. When processed and analyzed, data can bring out valuable information and knowledge from manufacturing process, production system and equipment. In industries, equipment maintenance is an important key, and affects the operation time of equipment and its efficiency. Thus, equipment faults need to be identified and solved, avoiding shutdown in the production processes. Machine Learning (ML) methods have been emerged as a promising tool in Predictive Maintenance (PdM) applications to prevent failures in equipment that make up the production lines in the factory floor. However, the performance of PdM applications depends on the appropriate choice of the ML method. The aim of this paper is to present a systematic literature review of ML methods applied to PdM, showing which are being explored in this field and the performance of the current state-of-the-art ML techniques. This review focuses on two scientific databases and provides a useful foundation on the ML techniques, their main results, challenges and opportunities, as well as it supports new research works in the PdM field.",1
21,2018.0,Recommendation System for Smart LMS Using Machine Learning : A Literature Review,"Murad, DF; Heryadi, Y; Wijanarko, BD; Isa, SM; Budiharto, W","This paper presents the result of Systematic Literature Review (SLR) on Recommender System (RS) topic as a preliminary toward a further study on designing a smart Learning Management System (LMS) for online learning which adopts Natural Language Processing techniques. As a foundation to a broader study on smart LMS, this study focused on analyzing prominent study reports on recommender systems in general and online learning in particular. The SLR method analyzed papers published in the range of 2013-2018. Out of the 109 papers this study analyzed in-depth 42 papers. The study findings confirmed that most of RS studies still focused on e-commerce, movies, tourists, and more whose most popular RS methods were collaborative filtering and content base. Some studies in RS for online education were mostly focused on scheduling, recommendations for courses, books, prospective students and others. The results of this study found that there are still much opportunities to develop methods and approaches for RS in online learning. This study findings gives foundation of our future research to develop a model of conscious contextual recommendation system using Machine Learning based on smart LMS for online learning.",1
22,2021.0,"Machine Learning Approaches to Retrieve High-Quality, Clinically Relevant Evidence From the Biomedical Literature: Systematic Review","Abdelkader, W; Navarro, T; Parrish, R; Cotoi, C; Germini, F; Iorio, A; Haynes, RB; Lokker, C","Background: The rapid growth of the biomedical literature makes identifying strong evidence a time-consuming task. Applying machine learning to the process could be a viable solution that limits effort while maintaining accuracy. Objective: The goal of the research was to summarize the nature and comparative performance of machine learning approaches that have been applied to retrieve high-quality evidence for clinical consideration from the biomedical literature. Methods: We conducted a systematic review of studies that applied machine learning techniques to identify high-quality clinical articles in the biomedical literature. Multiple databases were searched to July 2020. Extracted data focused on the applied machine learning model, steps in the development of the models, and model performance. Results: From 3918 retrieved studies, 10 met our inclusion criteria. All followed a supervised machine learning approach and applied, from a limited range of options, a high-quality standard for the training of their model. The results show that machine learning can achieve a sensitivity of 95% while maintaining a high precision of 86%. Conclusions: Machine learning approaches perform well in retrieving high-quality clinical studies. Performance may improve by applying more sophisticated approaches such as active learning and unsupervised machine learning approaches.",1
23,2021.0,A Literature Review of Using Machine Learning in Software Development Life Cycle Stages,"Shafiq, S; Mashkoor, A; Mayr-Dorn, C; Egyed, A","The software engineering community is rapidly adopting machine learning for transitioning modern-day software towards highly intelligent and self-learning systems. However, the software engineering community is still discovering new ways how machine learning can offer help for various software development life cycle stages. In this article, we present a study on the use of machine learning across various software development life cycle stages. The overall aim of this article is to investigate the relationship between software development life cycle stages, and machine learning tools, techniques, and types. We attempt a holistic investigation in part to answer the question of whether machine learning favors certain stages and/or certain techniques.",4
24,2021.0,A Systematic Literature Review on Federated Machine Learning: From a Software Engineering Perspective,"Lo, SK; Lu, QH; Wang, C; Paik, HY; Zhu, LM","Federated learning is an emerging machine learning paradigm where clients train models locally and formulate a global model based on the local model updates. To identify the state-of-the-art in federated learning and explore how to develop federated learning systems, we perform a systematic literature review from a software engineering perspective, based on 231 primary studies. Our data synthesis covers the lifecycle of federated learning system development that includes background understanding, requirement analysis, architecture design, implementation, and evaluation. We highlight and summarise the findings from the results and identify future trends to encourage researchers to advance their current work.",4
25,2021.0,Application of machine learning to improve dairy farm management: A systematic literature review,"Slob, N; Catal, C; Kassahun, A","In recent years, several researchers and practitioners applied machine learning algorithms in the dairy farm context and discussed several solutions to predict various variables of interest, most of which were related to incipient diseases. The objective of this article is to identify, assess, and synthesize the papers that discuss the application of machine learning in the dairy farm management context. Using a systematic literature review (SLR) protocol, we retrieved 427 papers, of which 38 papers were determined as primary studies and thus were analysed in detail. More than half of the papers (55 %) addressed disease detection. The other two categories of problems addressed were milk production and milk quality. Seventy-one independent variables were identified and grouped into seven categories. The two prominent categories that were used in more than half of the papers were milking parameters and milk properties. The other categories of independent variables were milk content, pregnancy/calving information, cow characteristics, lactation, and farm characteristics. Twenty-three algorithms were identified, which we grouped into four categories. Decision tree-based algorithms are by far the most used followed by artificial neural network-based algorithms. Regression-based algorithms and other algorithms that do not belong to the previous categories were used in 13 papers. Twenty-three evaluation parameters were identified of which 7 were used 3 or more times. The three evaluation parameters that were used by more than half of the papers are sensitivity, specificity, RMSE. The challenges most encountered were feature selection and unbalanced data and together with problem size, overfitting/estimating, and parameter tuning account for three-quarters of the challenges identified. To the best of our knowledge, this is the first SLR study on the use of machine learning to improve dairy farm management, and to this end, this study will be valuable not only for researchers but also practitioners in dairy farms.",1
26,2019.0,Applications of Machine Learning in Real-Life Digital Health Interventions: Review of the Literature,"Triantafyllidis, AK; Tsanas, A","Background: Machine learning has attracted considerable research interest toward developing smart digital health interventions. These interventions have the potential to revolutionize health care and lead to substantial outcomes for patients and medical professionals. Objective: Our objective was to review the literature on applications of machine learning in real-life digital health interventions, aiming to improve the understanding of researchers, clinicians, engineers, and policy makers in developing robust and impactful data-driven interventions in the health care domain. Methods: We searched the PubMed and Scopus bibliographic databases with terms related to machine learning, to identify real-life studies of digital health interventions incorporating machine learning algorithms. We grouped those interventions according to their target (ie, target condition), study design, number of enrolled participants, follow-up duration, primary outcome and whether this had been statistically significant, machine learning algorithms used in the intervention, and outcome of the algorithms (eg, prediction). Results: Our literature search identified 8 interventions incorporating machine learning in a real-life research setting, of which 3 (37%) were evaluated in a randomized controlled trial and 5 (63%) in a pilot or experimental single-group study. The interventions targeted depression prediction and management, speech recognition for people with speech disabilities, self-efficacy for weight loss, detection of changes in biopsychosocial condition of patients with multiple morbidity, stress management, treatment of phantom limb pain, smoking cessation, and personalized nutrition based on glycemic response. The average number of enrolled participants in the studies was 71 (range 8-214), and the average follow-up study duration was 69 days (range 3-180). Of the 8 interventions, 6 (75%) showed statistical significance (at the P=.05 level) in health outcomes. Conclusions: This review found that digital health interventions incorporating machine learning algorithms in real-life studies can be useful and effective. Given the low number of studies identified in this review and that they did not follow a rigorous machine learning evaluation methodology, we urge the research community to conduct further studies in intervention settings following evaluation principles and demonstrating the potential of machine learning in clinical practice.",1
27,2015.0,A systematic review of machine learning techniques for software fault prediction,"Malhotra, R","Background: Software fault prediction is the process of developing models that can be used by the software practitioners in the early phases of software development life cycle for detecting faulty constructs such as modules or classes. There are various machine learning techniques used in the past for predicting faults. Method: In this study we perform a systematic review of studies from January 1991 to October 2013 in the literature that use the machine learning techniques for software fault prediction. We assess the performance capability of the machine learning techniques in existing research for software fault prediction. We also compare the performance of the machine learning techniques with the statistical techniques and other machine learning techniques. Further the strengths and weaknesses of machine learning techniques are summarized. Results: In this paper we have identified 64 primary studies and seven categories of the machine learning techniques. The results prove the prediction capability of the machine learning techniques for classifying module/class as fault prone or not fault prone. The models using the machine learning techniques for estimating software fault proneness outperform the traditional statistical models. Conclusion: Based on the results obtained from the systematic review, we conclude that the machine learning techniques have the ability for predicting software fault proneness and can be used by software practitioners and researchers. However, the application of the machine learning techniques in software fault prediction is still limited and more number of studies should be carried out in order to obtain well formed and generalizable results. We provide future guidelines to practitioners and researchers based on the results obtained in this work. (C) 2014 Elsevier B.V. All rights reserved.",1
28,2018.0,The use of machine learning algorithms in recommender systems: A systematic review,"Portugal, I; Alencar, P; Cowan, D","Recommender systems use algorithms to provide users with product or service recommendations. Recently, these systems have been using machine learning algorithms from the field of artificial intelligence. However, choosing a suitable machine learning algorithm for a recommender system is difficult because of the number of algorithms described in the literature. Researchers and practitioners developing recommender systems are left with little information about the current approaches in algorithm usage. Moreover, the development of recommender systems using machine learning algorithms often faces problems and raises questions that must be resolved. This paper presents a systematic review of the literature that analyzes the use of machine learning algorithms in recommender systems and identifies new research opportunities. The goals of this study are to (i) identify trends in the use or research of machine learning algorithms in recommender systems; (ii) identify open questions in the use or research of machine learning algorithms; and (iii) assist new researchers to position new research activity in this domain appropriately. The results of this study identify existing classes of recommender systems, characterize adopted machine learning approaches, discuss the use of big data technologies, identify types of machine learning algorithms and their application domains, and analyzes both main and alternative performance metrics. (C) 2017 Elsevier Ltd. All rights reserved.",4
29,2021.0,Preliminary Literature Review of Machine Learning System Development Practices,"Watanabe, Y; Washizaki, H; Sakamoto, K; Saito, D; Honda, K; Tsuda, N; Fukazawa, Y; Yoshioka, N","To guide practitioners and researchers to design and research Machine Learning (ML) system development processes, we conduct a preliminary literature review on ML system development practices. We identified seven papers and two other papers determined in an ad-hoc review. Our findings include emphasized phases in ML system developments, frequently described ML-specific practices, and tailored traditional practices.",1
